SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
ICICIINFRA,EQ,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                 
540984,MF,INF174KA1GF8,Kotak Mahindra Mutual Fund,EF                                                                                                  
543177,MF,INF204KB11U3,Nippon India Mutual Fund,EF                                                                                                    
543178,MF,INF204KB12U1,Nippon India Mutual Fund,EF                                                                                                    
PVR-RE,BE,INE191H20014,PVR LIMITED RE,RE                                                                                                              
HDFCNIFTY,EQ,INF179KC1965,HDFCAMC - HDFCNIFTY,EF                                                                                                      
ESSEN-RE1,BL,INE418N20027,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
M16DG,MF,INF903JA1BD5,SUNDARMAMC - M16DG,EF                                                                                                           
ICICISENSX,EQ,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
ICICIALPLV,EQ,INF109KC1N59,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
SETFNIF50,BL,INF200KA1FS1,SBI-ETF NIFTY 50,EF                                                                                                         
SETFNIF50,EQ,INF200KA1FS1,SBI-ETF NIFTY 50,EF                                                                                                         
SETFNN50,EQ,INF200KA1598,SBI-ETF NIFTY NEXT 50,EF                                                                                                     
SETFNN50,BL,INF200KA1598,SBI-ETF NIFTY NEXT 50,EF                                                                                                     
EBANK,BL,INF754K01EL1,EDELWEISS ETF-NIFTY BANK,EF                                                                                                     
KOTAKBKETF,EQ,INF174K01F59,KOTAKMAMC-KOTAKBKETF,EF                                                                                                    
VF1RD,MF,INF903J01Z98,SUNDARMAMC - VF1RD,EF                                                                                                           
IVZINNIFTY,EQ,INF205K01DA9,INVESCO INDIA NIFTY ETF,EF                                                                                                 
UTIFEFDGR2,MF,INF789FA17T4,UTIAMC - UTIFEFDGR2,EF                                                                                                     
UTIFEFRGR2,MF,INF789FA15T8,UTIAMC - UTIFEFRGR2,EF                                                                                                     
T4RG,MF,INF903J016A4,SUNDARMAMC - T4RG,EF                                                                                                             
SC2DG,MF,INF903J01X82,SUNDARMAMC - SC2DG,EF                                                                                                           
QNIFTY,EQ,INF082J01028,QUANTUM NIFTY 50 ETF,EF                                                                                                        
EC3DG,MF,INF903JA1DD1,SUNDARMAMC - EC3DG,EF                                                                                                           
AJOONI-RE,BE,INE820Y20013,AJOONI BIOTECH LIMITED,RE                                                                                                   
MITTAL-RE,BL,INE997Y20019,MITTAL LIFE STYLE LIMITED,RE                                                                                                
GOKUL-RE,BE,INE314T20017,GOKUL AGRO RESOURCES LTD,RE                                                                                                  
NETF,EQ,INF277K015R5,TATAAML - NETF,EF                                                                                                                
IDFNIFTYET,BL,INF194KA1U07,IDFCAMC - IDFNIFTYET,EF                                                                                                    
EC6RG,MF,INF903JA1ET5,SUNDARMAMC - EC6RG,EF                                                                                                           
MC2RD,MF,INF903JA1EE7,SUNDARMAMC - MC2RD,EF                                                                                                           
ICICINIFTY,EQ,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                    
M15DD,MF,INF903JA1AO4,SUNDARMAMC - M15DD,EF                                                                                                           
ARVINDF-RE,BE,INE955V20013,ARVIND FASHIONS RE,RE                                                                                                      
ICICIPHARM,BL,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
GUJNRECOKE,W1,INE110D13018,GUJ NRE COKE WARRANTS,RE                                                                                                   
HATSUN-RE,BL,INE473B20019,HATSUN AGRO PROD LTD-RE,RE                                                                                                  
GODHA-RE,BL,INE925Y20010,GODHA CABCON INSULAT LTD,RE                                                                                                  
HEALTHY,BL,INF209KB10C2,BIRLASLAMC - HEALTHY,EF                                                                                                       
KOTAKMID50,BL,INF174KA1IB3,KOTAKMAMC - KOTAKMID50,EF                                                                                                  
MASPTOP50,BL,INF769K01HP3,MIRAEAMC - MASPTOP50,EF                                                                                                     
SDBL-RE1,BE,INE480C20020,SOM DIST & BREW LTD,RE                                                                                                       
RIL-RE,BL,INE002A20018,RELIANCE INDUSTRIES RE,RE                                                                                                      
ABFRL-RE,BE,INE647O20011,ADITYA BIRLA FASHION RE,RE                                                                                                   
SBIETFCON,BL,INF200KA1X17,SBIAMC - SBIETFCON,EF                                                                                                       
MOHEALTH,EQ,INF247L01BB1,MOTILALAMC - MOHEALTH,EF                                                                                                     
KOTAKCONS,BL,INF174KA1JE5,KOTAKMAMC - KOTAKCONS,EF                                                                                                    
542806,MF,INF204KB10E9,Nippon India Mutual Fund,EF                                                                                                    
542837,MF,INF204KB11E7,Nippon India Mutual Fund,EF                                                                                                    
542843,MF,INF204KB16F3,Nippon India Mutual Fund,EF                                                                                                    
LIBAS-RE,BL,INE908V20012,LIBAS CON PRODUCT LTD,RE                                                                                                     
DIL-RE,BL,INE411Y20011,DEBOCK INDUSTRIES LIMITED,RE                                                                                                   
MASPTOP50,EQ,INF769K01HP3,MIRAEAMC - MASPTOP50,EF                                                                                                     
KOTAKALPHA,EQ,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA,EF                                                                                                  
ITBEES,EQ,INF204KB15V2,NIP IND ETF IT,EF                                                                                                              
CONSUMBEES,EQ,INF204KA1LD7,NIP IND ETF CONSUMPTION,EF                                                                                                 
ICICIMOM30,BL,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                 
MOVALUE,EQ,INF247L01BE5,MOTILALAMC - MOVALUE,EF                                                                                                       
535276,EQ,INF200K01VT2,SBI MUTUAL FUND - SBI ETF SENS,EF                                                                                              
MAMFGETF,EQ,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                       
DYNPRO-RE,BL,INE256H20015,DYNEMIC PRODUCTS LIMITED,RE                                                                                                 
HDFCGROWTH,BL,INF179KC1DJ0,HDFCAMC - HDFCGROWTH,EF                                                                                                    
SUZLON-RE,BL,INE040H20013,SUZLON ENERGY LTD,RE                                                                                                        
ICICIFIN,EQ,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                       
JETFRE-RE,BL,INE982V20017,JET FREIGHT LOGISTICS LTD,RE                                                                                                
SHARE-RE,BE,INE932X20018,SHARE IND SEC LTD,RE                                                                                                         
543174,MF,INF204KB10U5,Nippon India Mutual Fund,EF                                                                                                    
543184,MF,INF204KB14T9,Nippon India Mutual Fund,EF                                                                                                    
DSPN50ETF,BL,INF740KA1CL0,DSPAMC - DSPN50ETF,EF                                                                                                       
DSPQ50ETF,BL,INF740KA1QL0,DSPAMC - DSPQ50ETF,EF                                                                                                       
ICICINXT50,BL,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
M16DD,MF,INF903JA1BE3,SUNDARMAMC - M16DD,EF                                                                                                           
ICICIMCAP,EQ,INF109KB1XT3,ICICI PRUD MIDCAP SEL ETF,EF                                                                                                
ICICIMCAP,BL,INF109KB1XT3,ICICI PRUD MIDCAP SEL ETF,EF                                                                                                
ICICINV20,BL,INF109KB1WY5,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                
ICICIALPLV,BL,INF109KC1N59,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
ABSLNN50ET,BL,INF209KB16D7,BIRLASLAMC - ABSLNN50ET,EF                                                                                                 
SMCSRIIDD,MF,INF903J01ZB2,SUNDARMAMC - SMCSRIIDD,EF                                                                                                   
LICNETFSEN,BL,INF767K01OT5,LICNAMC - LICNFESGP,EF                                                                                                     
T4DG,MF,INF903J018A0,SUNDARMAMC - T4DG,EF                                                                                                             
SC2DD,MF,INF903J01X90,SUNDARMAMC - SC2DD,EF                                                                                                           
SHARIABEES,EQ,INF732E01128,NIP IND ETF SHARIAH BEES,EF                                                                                                
BSLNIFTY,EQ,INF209KB19D1,ADITYBIRLA SL NIF ETF-GR,EF                                                                                                  
T5DG,MF,INF903J010D1,SUNDARMAMC - T5DG,EF                                                                                                             
MOLOWVOL,EQ,INF247L01BL0,MOTILALAMC - MOLOWVOL,EF                                                                                                     
SBIETFIT,BL,INF200KA1S14,SBIAMC - SBIETFIT,EF                                                                                                         
MC2DD,MF,INF903JA1EG2,SUNDARMAMC - MC2DD,EF                                                                                                           
MC2DG,MF,INF903JA1EF4,SUNDARMAMC - MC2DG,EF                                                                                                           
NGIL-RE,BL,INE236Y20012,NAKODA GRP OF IND LTD,RE                                                                                                      
M15DG,MF,INF903JA1AN6,SUNDARMAMC - M15DG,EF                                                                                                           
IBMFNIFTY,EQ,INF666M01FS5,IBULLSAMC - IBMFNIFTY,EF                                                                                                    
DSPNEWETF,BL,INF740KA1QK2,DSPAMC - DSPNEWETF,EF                                                                                                       
HDFCSML250,BL,INF179KC1FB2,HDFCAMC - HDFCSML250,EF                                                                                                    
EC5DG,MF,INF903JA1EN8,SUNDARMAMC - EC5DG,EF                                                                                                           
EC5RD,MF,INF903JA1EM0,SUNDARMAMC - EC5RD,EF                                                                                                           
ICICITECH,BL,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                   
NECLTD-RE,BE,INE553C20016,NORTH EAST CARRY CORP LTD,RE                                                                                                
ICICIFMCG,EQ,INF109KC1R48,ICICIPRAMC - ICICIFMCG,EF                                                                                                   
ABFRL-RE,BL,INE647O20011,ADITYA BIRLA FASHION RE,RE                                                                                                   
542813,MF,INF204KB10G4,Nippon India Mutual Fund,EF                                                                                                    
542817,MF,INF204KB17F1,Nippon India Mutual Fund,EF                                                                                                    
AXISCETF,BL,INF846K016C7,AXISAMC - AXISCETF,EF                                                                                                        
KOTAKALPHA,BL,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA,EF                                                                                                  
KOTAKMNC,EQ,INF174KA1JF2,KOTAKMAMC - KOTAKMNC,EF                                                                                                      
DYNPRO-RE,BE,INE256H20015,DYNEMIC PRODUCTS LIMITED,RE                                                                                                 
HDFCPVTBAN,EQ,INF179KC1DW3,HDFCAMC - HDFCPVTBAN,EF                                                                                                    
MAESGETF,BL,INF769K01GS9,MIRAEAMC - MAESGETF,EF                                                                                                       
BTML-RE,ST,INE0EEJ20015,BODHI TREE MULTIMEDIA LTD,RE                                                                                                  
KHFM-RE,ST,INE00UG20014,KHFM HOS FAC MANA SER LTD,RE                                                                                                  
SEPC-RE,BE,INE964H20014,SEPC LIMITED,RE                                                                                                               
ICICIINFRA,BL,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                 
538592,MF,INF204KA1RX2,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
538632,MF,INF204KA1SU6,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICICONSU,EQ,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
ICICIBANKP,BL,INF109KC1E35,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
540982,MF,INF174KA1GE1,Kotak Mahindra Mutual Fund,EF                                                                                                  
543185,MF,INF204KB15T6,Nippon India Mutual Fund,EF                                                                                                    
543175,MF,INF204KB15U4,Nippon India Mutual Fund,EF                                                                                                    
543182,MF,INF204KB18T0,Nippon India Mutual Fund,EF                                                                                                    
HDFCSENSEX,EQ,INF179KC1973,HDFCAMC - HDFCSENSEX,EF                                                                                                    
ICICINXT50,EQ,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
COMP-RE,BL,INE070C20011,COMPUAGE INFOCOM LTD,RE                                                                                                       
SBIETFQLTY,BL,INF200KA1WX6,SBIAMC - SBIETFQLTY,EF                                                                                                     
EC6RD,MF,INF903JA1EU3,SUNDARMAMC - EC6RD,EF                                                                                                           
UTINIFTETF,EQ,INF789FB1X41,UTIAMC - UTINIFTETF,EF                                                                                                     
UTISENSETF,EQ,INF789FB1X58,UTIAMC - UTISENSETF,EF                                                                                                     
SETFNIFBK,BL,INF200KA1580,SBI-ETF NIFTY BANK,EF                                                                                                       
KOTAKNV20,EQ,INF174K01Z71,KOTAKMAMC - KTKNV20ETF,EF                                                                                                   
UTIFEFRDP2,MF,INF789FA14T1,UTIAMC - UTIFEFRDP2,EF                                                                                                     
SC2RG,MF,INF903J01X66,SUNDARMAMC - SC2RG,EF                                                                                                           
PSUBNKBEES,EQ,INF204KB16I7,NIP IND ETF PSU BANK BEES,EF                                                                                               
T5DD,MF,INF903J011D9,SUNDARMAMC - T5DD,EF                                                                                                             
NPBET,BL,INF277K010X4,TATAAML - NPBET,EF                                                                                                              
SRTRANS-RE,BE,INE721A20013,SHRIRAM TRANSPORT RE,RE                                                                                                    
SUVEN-RE,BE,INE495B20012,SUVEN LIFE SCIENCES LTD,RE                                                                                                   
EC2RG,MF,INF903JA1CP7,SUNDARMAMC - EC2RG,EF                                                                                                           
WOCKH-RE,BE,INE049B20017,WOCKHARDT LIMITED,RE                                                                                                         
MC1DD,MF,INF903JA1DU5,SUNDARMAMC - MC1DD,EF                                                                                                           
MC1DG,MF,INF903JA1DT7,SUNDARMAMC - MC1DG,EF                                                                                                           
NGIL-RE,BE,INE236Y20012,NAKODA GRP OF IND LTD,RE                                                                                                      
ICICIPHARM,EQ,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
PNB-RE,BL,INE572E20012,PNB HOUSING FIN LTD.,RE                                                                                                        
EC3RD,MF,INF903JA1DC3,SUNDARMAMC - EC3RD,EF                                                                                                           
ICICIM150,EQ,INF109KC1G82,ICICIPRAMC - ICICIM150,EF                                                                                                   
HEALTHY,EQ,INF209KB10C2,BIRLASLAMC - HEALTHY,EF                                                                                                       
AXISHCETF,BL,INF846K01Z12,AXISAMC - AXISHCETF,EF                                                                                                      
MOM50,EQ,INF247L01536,MOTILAL OSWAL M50 ETF,EF                                                                                                        
HDFCBSE500,EQ,INF179KC1EZ4,HDFCAMC - HDFCBSE500,EF                                                                                                    
HDFCBSE500,BL,INF179KC1EZ4,HDFCAMC - HDFCBSE500,EF                                                                                                    
APCL-RE,BE,INE071F20012,ANJANI PORTLAND CEM LTD,RE                                                                                                    
SDBL-RE1,BL,INE480C20020,SOM DIST & BREW LTD,RE                                                                                                       
RIL-RE,BE,INE002A20018,RELIANCE INDUSTRIES RE,RE                                                                                                      
ICICI500,EQ,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                     
MANXT50,EQ,INF769K01FN2,MIRAEAMC - MANXT50,EF                                                                                                         
M&MFIN-RE,BE,INE774D20016,MAHINDRA & MAHINDRA RE,RE                                                                                                   
MOQUALITY,BL,INF247L01BH8,MOTILALAMC - MOQUALITY,EF                                                                                                   
HDFCMOMENT,EQ,INF179KC1DM4,HDFCAMC - HDFCMOMENT,EF                                                                                                    
MONQ50,EQ,INF247L01AU3,MOTILALAMC - MONQ50,EF                                                                                                         
MONQ50,BL,INF247L01AU3,MOTILALAMC - MONQ50,EF                                                                                                         
MOMOMENTUM,EQ,INF247L01BK2,MOTILALAMC - MOMOMENTUM,EF                                                                                                 
MOMOMENTUM,BL,INF247L01BK2,MOTILALAMC - MOMOMENTUM,EF                                                                                                 
ESSEN-RE,BE,INE418N20019,INTEGRA ESSENTIA LIMITED,RE                                                                                                  
MOVALUE,BL,INF247L01BE5,MOTILALAMC - MOVALUE,EF                                                                                                       
535276,BL,INF200K01VT2,SBI MUTUAL FUND - SBI ETF SENS,EF                                                                                              
540154,EQ,INF194KA1T91,IDFC Mutual Fund,EF                                                                                                            
542747,EQ,INF204KB15D0,NIPPON INDIA ETF SENSEX NEXT 5,EF                                                                                              
HDFCVALUE,EQ,INF179KC1DK8,HDFCAMC - HDFCVALUE,EF                                                                                                      
ICICICOMMO,BL,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                 
RSWM-RE,BL,INE611A20016,RSWM LIMITED,RE                                                                                                               
MANV30F,BL,INF769K01JU9,MIRAEAMC - MANV30F,EF                                                                                                         
DESTIN-RE,ST,INE0IGO20011,DESTINY LOGISTICS & I LTD,RE                                                                                                
PSUBANKICI,BL,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
M17DD,MF,INF903JA1BI4,SUNDARMAMC - M17DD,EF                                                                                                           
EC4DD,MF,INF903JA1DQ3,SUNDARMAMC - EC4DD,EF                                                                                                           
SHARE-RE,BL,INE932X20018,SHARE IND SEC LTD,RE                                                                                                         
543183,MF,INF204KB19T8,Nippon India Mutual Fund,EF                                                                                                    
AARTI-RE,BL,INE09EO20013,AARTI SURFACTANTS LIMITED,RE                                                                                                 
ICICILOVOL,EQ,INF109KB10T8,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
SBIETFQLTY,EQ,INF200KA1WX6,SBIAMC - SBIETFQLTY,EF                                                                                                     
UTISXN50,BL,INF789F1AUU3,UTIAMC - UTISXN50,EF                                                                                                         
ICICIBANKN,BL,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                   
