SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
HDFC,W3,INE001A13049,HOUSING DVPT FIN CORP LTD,RE                                                                                                     
IBMFNIFTY,BL,INF666M01FS5,IBULLSAMC - IBMFNIFTY,EF                                                                                                    
HDFCNIF100,BL,INF179KC1DB7,HDFCAMC - HDFCNIF100,EF                                                                                                    
ICICIBANKP,EQ,INF109KC1E35,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
SUVEN-RE,BL,INE495B20012,SUVEN LIFE SCIENCES LTD,RE                                                                                                   
EC7DG,MF,INF903JA1FH7,SUNDARMAMC - EC7DG,EF                                                                                                           
EC7RD,MF,INF903JA1FG9,SUNDARMAMC - EC7RD,EF                                                                                                           
UTIBANKETF,BL,INF789F1AUV1,UTIAMC - UTIBANKETF,EF                                                                                                     
MAM150ETF,BL,INF769K01IC9,MIRAEAMC - MAM150ETF,EF                                                                                                     
MC1RD,MF,INF903JA1DS9,SUNDARMAMC - MC1RD,EF                                                                                                           
M&MFIN-RE,BL,INE774D20016,MAHINDRA & MAHINDRA RE,RE                                                                                                   
M15RG,MF,INF903JA1AL0,SUNDARMAMC - M15RG,EF                                                                                                           
MOM100,EQ,INF247L01023,MOTILAL OS MIDCAP100 ETF,EF                                                                                                    
HDFCMID150,EQ,INF179KC1FA4,HDFCAMC - HDFCMID150,EF                                                                                                    
HDFCMID150,BL,INF179KC1FA4,HDFCAMC - HDFCMID150,EF                                                                                                    
HDFCSML250,EQ,INF179KC1FB2,HDFCAMC - HDFCSML250,EF                                                                                                    
BSLSENETFG,EQ,INF209KB10E8,BIRLASLAMC - BSLSENETFG,EF                                                                                                 
MOMENTUM,EQ,INF209KB14K7,BIRLASLAMC - MOMENTUM,EF                                                                                                     
GDL-RE,BE,INE852F20015,GATEWAY DISTRIPARKS RE,RE                                                                                                      
542841,MF,INF204KB14G6,Nippon India Mutual Fund,EF                                                                                                    
542818,MF,INF204KB18F9,Nippon India Mutual Fund,EF                                                                                                    
542819,MF,INF204KB19F7,Nippon India Mutual Fund,EF                                                                                                    
TFL-RE,BE,INE804H20012,TRANSWARRANTY FINANCE LTD,RE                                                                                                   
TFL-RE,BL,INE804H20012,TRANSWARRANTY FINANCE LTD,RE                                                                                                   
ROML-RE,BE,INE294G20018,RAJ OIL MILLS LIMITED,RE                                                                                                      
TNIDETF,BL,INF277KA1364,TATAAML - TNIDETF,EF                                                                                                          
MAFANG,BL,INF769K01HF4,MIRAEAMC - MAFANG,EF                                                                                                           
PHARMABEES,EQ,INF204KC1089,NIPPONAMC - NETFPHARMA,EF                                                                                                  
AUTOBEES,EQ,INF204KC1337,NIPPONAMC - NETFAUTO,EF                                                                                                      
MOMENTUM,BL,INF209KB14K7,BIRLASLAMC - MOMENTUM,EF                                                                                                     
538683,EQ,INF204KA1UN7,NIPPON INDIA ETF SENSEX,EF                                                                                                     
541972,BL,INF200KA1VQ2,SBI Mutual Fund,EF                                                                                                             
MAMFGETF,BL,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                       
AKG-RE,BL,INE00Y820016,AKG EXIM LIMITED,RE                                                                                                            
DSPBANKETF,EQ,INF740KA1RX3,DSPAMC - DSPBANKETF,EF                                                                                                     
JETFRE-RE,BE,INE982V20017,JET FREIGHT LOGISTICS LTD,RE                                                                                                
PSUBANKICI,EQ,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
BRIGHT-RE,ST,INE684Z20010,BRIGHT SOLAR LIMITED,RE                                                                                                     
M17DG,MF,INF903JA1BH6,SUNDARMAMC - M17DG,EF                                                                                                           
M17RD,MF,INF903JA1BG8,SUNDARMAMC - M17RD,EF                                                                                                           
EC4RD,MF,INF903JA1DO8,SUNDARMAMC - EC4RD,EF                                                                                                           
538594,MF,INF204KA1RV6,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
538630,MF,INF204KA1SW2,RELIANCE MUTUAL FUND - RELIANC,EF                                                                                              
538631,MF,INF204KA1SV4,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICIAUTO,EQ,INF109KC1Y49,ICICIPRAMC - ICICIAUTO,EF                                                                                                   
ICICIAUTO,BL,INF109KC1Y49,ICICIPRAMC - ICICIAUTO,EF                                                                                                   
543186,MF,INF204KB13U9,Nippon India Mutual Fund,EF                                                                                                    
HDFCSENSEX,BL,INF179KC1973,HDFCAMC - HDFCSENSEX,EF                                                                                                    
NPBET,EQ,INF277K010X4,TATAAML - NPBET,EF                                                                                                              
GISO-RE,BE,INE065J20016,GI ENGINEERING SOLUTIONS,RE                                                                                                   
M16RD,MF,INF903JA1BC7,SUNDARMAMC - M16RD,EF                                                                                                           
ICICINF100,EQ,INF109KA1962,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
ICICINF100,BL,INF109KA1962,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
EC6DD,MF,INF903JA1EW9,SUNDARMAMC - EC6DD,EF                                                                                                           
EC6DG,MF,INF903JA1EV1,SUNDARMAMC - EC6DG,EF                                                                                                           
UTISXN50,EQ,INF789F1AUU3,UTIAMC - UTISXN50,EF                                                                                                         
BCIL-RE,BE,INE414D20019,BHAGIRADHA CHEM & IND LTD,RE                                                                                                  
SM547,MF,INF903J01M85,SUNDARMAMC - SM547,EF                                                                                                           
UTISENSETF,BL,INF789FB1X58,UTIAMC - UTISENSETF,EF                                                                                                     
LICNFNHGP,BL,INF767K01PC8,LICNAMC - LICNFNHGP,EF                                                                                                      
VF1RG,MF,INF903J01Z80,SUNDARMAMC - VF1RG,EF                                                                                                           
LICNETFN50,EQ,INF767K01OS7,LICNAMC - LICNFENGP,EF                                                                                                     
UTIFEFDDP2,MF,INF789FA16T6,UTIAMC - UTIFEFDDP2,EF                                                                                                     
T4DD,MF,INF903J019A8,SUNDARMAMC - T4DD,EF                                                                                                             
ABSLBANETF,EQ,INF209KB17D5,BIRLASLAMC - ABSLBANETF,EF                                                                                                 
HDFCNEXT50,EQ,INF179KC1DA9,HDFCAMC - HDFCNEXT50,EF                                                                                                    
HDFCNEXT50,BL,INF179KC1DA9,HDFCAMC - HDFCNEXT50,EF                                                                                                    
AXISBNKETF,EQ,INF846K01X63,AXISAMC - AXISBNKETF,EF                                                                                                    
GOKUL-RE,BL,INE314T20017,GOKUL AGRO RESOURCES LTD,RE                                                                                                  
NETF,BL,INF277K015R5,TATAAML - NETF,EF                                                                                                                
GAL-RE,BL,INE482J20013,GYSCOAL ALLOYS LTD,RE                                                                                                          
SHRERA-RE,BE,INE879A20019,SHREE RAMA MULTI-TECH LTD,RE                                                                                                
INDO-RE,BL,INE227G20018,INDOWIND ENERGY LIMITED,RE                                                                                                    
SBIETFPB,BL,INF200KA1S22,SBIAMC - SBIETFPB,EF                                                                                                         
ARVINDF-RE,BL,INE955V20013,ARVIND FASHIONS RE,RE                                                                                                      
ICICIM150,BL,INF109KC1G82,ICICIPRAMC - ICICIM150,EF                                                                                                   
HDFCLOWVOL,BL,INF179KC1DN2,HDFCAMC - HDFCLOWVOL,EF                                                                                                    
DSPNEWETF,EQ,INF740KA1QK2,DSPAMC - DSPNEWETF,EF                                                                                                       
HERIT-RE,BL,INE978A20019,HERITAGE FOODS LTD,RE                                                                                                        
AXISHCETF,EQ,INF846K01Z12,AXISAMC - AXISHCETF,EF                                                                                                      
EC5RG,MF,INF903JA1EL2,SUNDARMAMC - EC5RG,EF                                                                                                           
TEMBO-RE,BE,INE869Y20010,TEMBO GLOBAL IND LTD,RE                                                                                                      
TEMBO-RE,BL,INE869Y20010,TEMBO GLOBAL IND LTD,RE                                                                                                      
NECLTD-RE,BL,INE553C20016,NORTH EAST CARRY CORP LTD,RE                                                                                                
HILTON-RE,BL,INE788H20017,HILTON METAL FORGING LIMI,RE                                                                                                
MOQUALITY,EQ,INF247L01BH8,MOTILALAMC - MOQUALITY,EF                                                                                                   
AXISNIFTY,EQ,INF846K01W98,AXISAMC - AXISNIFTY,EF                                                                                                      
KOTAKCONS,EQ,INF174KA1JE5,KOTAKMAMC - KOTAKCONS,EF                                                                                                    
542840,MF,INF204KB12E5,Nippon India Mutual Fund,EF                                                                                                    
542804,MF,INF204KB12F2,Nippon India Mutual Fund,EF                                                                                                    
