120,INDUSTOWER,INE121J01017,164.9,20
121,AIROLAM,INE801L01010,90.35,20.62
122,RICOAUTO,INE209B01025,107.45,21.11
123,IDBIGOLD,INF397L01554,5395,20
124,UCOBANK,INE691A01018,28.3,20
125,IRIS,INE864K01010,77.3,20
126,JUNIORBEES,INF732E01045,466.99,6
127,KFINTECH,INE138Y01010,357.5,20
128,FORTIS,INE061F01013,332.1,20
129,LAMBODHARA,INE112F01022,143.9,100
130,GATI,INE152B01027,133.5,20
131,ICICIMCAP,INF109KB1XT3,111.98,6.4
132,SOUTHWEST,INE980Y01015,145.45,100
133,BERGEPAINT,INE463A01038,670.15,20
134,OIL,INE274J01014,254.25,20
135,SCHNEIDER,INE839M01018,281.6,20
136,ITC,INE154A01025,473.15,9
137,LICNETFGSC,INF767K01MV5,23.61,10
138,AARVI,INE754X01016,142.1,23.88
139,ORIENTBELL,INE607D01018,531.35,20
140,EMAMILTD,INE548C01032,419.95,20
141,ZUARIIND,INE217A01012,150.7,20
142,SPLIL,INE978G01016,66.05,24.63
143,AHL,INE00ZE01026,296.75,20
144,CONTROLPR,INE663B01015,645.15,20
145,EBBETF0431,INF754K01LE1,1149.64,6
146,IMFA,INE919H01018,338.9,20
147,PRIMESECU,INE032B01021,132.45,20
148,L&TFH,INE498L01015,133.05,20
149,PFS,INE560K01014,19.85,20
150,3MINDIA,INE470A01017,27972.4,20
151,CONFIPET,INE552D01024,77.5,20
152,GUJGASLTD,INE844O01030,480.6,20
153,SETF10GILT,INF200KA1JT1,217.24,10
154,WHIRLPOOL,INE716A01013,1458.45,20
155,SOTL,INE035D01020,291.85,20
156,HISARMETAL,INE598C01011,162.3,22.87
157,CONSUMBEES,INF204KA1LD7,92.51,20
158,VIDHIING,INE632C01026,384.6,20
159,BBTCL,INE01EE01011,236.55,20
160,ADVENZYMES,INE837H01020,283.65,20
161,AXSENSEX,INF846K010Q0,65.7,6
162,VTL,INE825A01020,366.85,20
163,ICICIB22,INF109KB15Y7,68.17,20
164,JYOTHYLAB,INE668F01031,236.15,20
165,INDIANB,INE562A01011,310.1,20
166,MANKIND,INE634S01028,1731.4,20
167,LAOPALA,INE059D01020,452.65,20
168,GMDCLTD,INE131A01031,167.75,20.01
169,SESHAPAPER,INE630A01024,290.6,20
170,ASTRAL,INE006I01046,1779.25,20
171,ICICIBANKN,INF109KC15I8,45.15,20
172,PGIL,INE940H01014,579.75,22.49
173,TINPLATE,INE422C01014,343.75,20
174,SONACOMS,INE073K01018,540.15,20
175,HAVELLS,INE176B01034,1307.65,20
176,INTELLECT,INE306R01017,597.85,20
177,MAITHANALL,INE683C01011,1088.75,20
178,OPTIEMUS,INE350C01017,235.2,24.63
179,SAFARI,INE429E01023,3053.65,20
180,KKCL,INE401H01017,627.25,20
181,SAHYADRI,INE280H01015,368.05,20
182,BALPHARMA,INE083D01012,94.85,20
183,PFIZER,INE182A01018,3791.55,20
184,SADHNANIQ,INE888C01040,101.6,20
185,MADRASFERT,INE414A01015,80.5,25.55
186,RESPONIND,INE688D01026,179.65,20.42
187,MCX,INE745G01035,1579.5,20
188,VENUSREM,INE411B01019,286.6,100
189,RAJSREESUG,INE562B01019,40.35,23.03
190,AARON,INE721Z01010,235.8,100
191,DRREDDY,INE089A01023,5165.85,9
192,BHAGCHEM,INE414D01019,1404.3,20
193,DREDGECORP,INE506A01018,366.8,20
194,BHANDARI,INE474E01029,4.75,23.03
195,CARERATING,INE752H01013,703.8,20
196,TVTODAY,INE038F01029,199.1,20
197,PGEL,INE457L01011,1547.35,20
198,PARSVNATH,INE561H01026,7.65,23.88
199,OSWALGREEN,INE143A01010,24,20
200,WEIZMANIND,INE080A01014,97.75,100
201,ARVIND,INE034A01011,138.15,20
202,APCOTEXIND,INE116A01032,536.1,20
203,DCMNVL,INE08KP01019,158.9,20
204,DCBBANK,INE503A01015,127.75,20
205,RACE,INE084Q01012,273.95,20
206,RADIANTCMS,INE855R01021,90.3,20
207,BIOCON,INE376G01013,254.2,20
208,BIRLACORPN,INE340A01012,1217.4,20
209,MAYURUNIQ,INE040D01038,519.45,20
210,SIMPLEXINF,INE059B01024,30.5,26.14
211,CHEMCON,INE03YM01018,271.4,20
212,VADILALIND,INE694D01016,3027.35,20.84
213,DCXINDIA,INE0KL801015,274.85,20
214,SIRCA,INE792Z01011,358.9,20
215,ANDHRAPAP,INE435A01028,423.5,20
216,GRMOVER,INE192H01020,169.8,20
217,PIIND,INE603J01030,3657.05,20
218,JHS,INE544H01014,23.05,100
219,INDUSINDBK,INE095A01012,1380.95,13.87
220,STERTOOLS,INE334A01023,360.15,22.97
221,TATAPOWER,INE245A01021,225.5,20
222,NAHARINDUS,INE289A01011,123.05,20
223,FILATEX,INE816B01035,38.45,20
224,BRITANNIA,INE216A01030,5083.9,9
225,MSTCLTD,INE255X01014,364.15,20
226,INDRAMEDCO,INE681B01017,110.6,100
227,AXISILVER,INF846K011K1,72.33,20
228,IOLCP,INE485C01011,376.5,20
229,SDL26BEES,INF204KC1022,114,20
230,HNDFDS,INE254N01026,552.55,20
231,SGBNOV258,IN0020170109,5859,10
232,SGBOCT27VI,IN0020190388,5773,10
233,ORISSAMINE,INE725E01024,4139.1,20
234,BPCL,INE029A01011,390.9,10.09
235,ROTO,INE535D01029,372.95,20
236,SGBDE30III,IN0020220110,5914.31,10
237,GULPOLY,INE255D01024,237.85,20
238,ABB,INE117A01022,4499.25,20
239,APTUS,INE852O01025,259,20
240,SBC,INE04AK01028,20.55,100
241,EIMCOELECO,INE158B01016,696.6,100
242,NITINSPIN,INE229H01012,264.8,20
243,GOLDBEES,INF204KB17I5,50.16,20
244,KOTAKPSUBK,INF373I01023,439.54,20
245,SGBSEP24,IN0020160043,5870,10
246,REFEX,INE056I01017,640.9,27.34
247,GEECEE,INE916G01016,175.5,20
248,ALPHAGEO,INE137C01018,279.15,20
249,CYBERTECH,INE214A01019,125.85,100
250,SOLARA,INE624Z01016,377.85,20
251,MOM50,INF247L01536,196.83,6
252,SHALBY,INE597J01018,177,20
253,CEATLTD,INE482A01020,2461,20
254,ANDREWYU,INE449C01025,24.9,20
255,NSLNISP,INE0NNS01018,44.3,20
256,SGBOCT25V,IN0020170075,5940,10
257,MRF,INE883A01011,101930.2,20
258,APOLLOPIPE,INE126J01016,711.55,20
259,UTIBANKETF,INF789F1AUV1,45.51,20
260,SGBJUN28,IN0020200104,5818.03,10
261,VALIANTORG,INE565V01010,507.8,20.05
262,SYNGENE,INE398R01022,762.1,20
263,INFOBEAN,INE344S01016,503.85,20
264,ACC,INE012A01025,1783.25,20
265,SIYSIL,INE076B01028,562.55,20
266,GOLDSHARE,INF789F1AUX7,50.25,20
267,ONEPOINT,INE840Y01029,21.35,100
268,GRINDWELL,INE536A01023,2149.35,20
269,SHREECEM,INE070A01015,23955.35,20
270,PHARMABEES,INF204KC1089,14.07,20
271,NEOGEN,INE136S01016,1609.75,20
272,CLEAN,INE227W01023,1323.95,20
273,GRSE,INE382Z01011,616.3,21.58
274,TVSELECT,INE236G01019,417.35,23.73
275,SUKHJITS,INE450E01011,421.2,20
276,SPECIALITY,INE247M01014,225.8,20.42
277,JINDALPHOT,INE796G01012,345.2,23.4
278,NECCLTD,INE553C01016,19.15,25.27
279,KILITCH,INE729D01010,190,100
280,ICICIFIN,INF109KC17L8,19.36,20
281,ROLEXRINGS,INE645S01016,2183.95,20
282,WENDT,INE274C01019,10262.75,20
283,HCLTECH,INE860A01027,1114.9,9.13
284,JUBLPHARMA,INE700A01033,394.8,20
285,TIMKEN,INE325A01013,3384.35,20
286,SGBMAR28X,IN0020190552,5850,10
287,ASPINWALL,INE991I01015,234.7,22.77
288,IIFL,INE530B01024,538.25,20
289,AYMSYNTEX,INE193B01039,77.35,20
290,GOKUL,INE020J01029,30.4,20.65
291,PRITI,INE974Z01015,219.5,21.63
292,SALZERELEC,INE457F01013,342.4,21.87
293,AAREYDRUGS,INE198H01019,32.7,20
294,NIITLTD,INE161A01038,81.2,20
295,KAYNES,INE918Z01012,1662.3,20
296,RAMKY,INE874I01013,391.4,21.65
297,ADORWELD,INE045A01017,1255.35,20
298,STARCEMENT,INE460H01021,148.3,20
299,SPARC,INE232I01014,230.25,20
300,SGBJUL25,IN0020170034,5875,10
301,TI,INE133E01013,148.65,20
302,REPRO,INE461B01014,784.75,20.82
303,EXIDEIND,INE302A01020,252.5,20
304,ICICI5GSEC,INF109KC14A8,52.85,10
305,ACCURACY,INE648Z01023,10.5,100
306,KIRLFER,INE884B01025,500.3,20
307,THERMAX,INE152A01029,2272.05,20
308,INDOCO,INE873D01024,322.65,20
309,DMCC,INE505A01010,309.45,20
310,PALREDTEC,INE218G01033,154.5,23.92
311,VAISHALI,INE972X01014,122.4,20.65
312,WINDMACHIN,INE052A01021,57.25,100
313,DECCANCE,INE583C01021,498.25,20
314,GOKEX,INE887G01027,510.85,20
315,GILLETTE,INE322A01010,5303.2,20
316,DHAMPURSUG,INE041A01016,266.2,20
317,MODISONLTD,INE737D01021,75.85,20
318,IVC,INE050B01023,8.35,20
319,MOTILALOFS,INE338I01027,742.05,20
320,SGBOCT27,IN0020190370,5801.51,10
321,PROZONINTU,INE195N01013,25.65,21.39
322,SHANTIGEAR,INE631A01022,462.9,20
323,RBL,INE244J01017,876,20
324,JSWSTEEL,INE019A01038,797.4,11.67
325,TDPOWERSYS,INE419M01027,243.55,21.14
326,BAJAJHLDNG,INE118A01012,7177.2,20
327,TTML,INE517B01013,74.35,24.06
328,M&MFIN,INE774D01024,325.9,20
329,JAYSREETEA,INE364A01020,90.15,20
330,ICICISENSX,INF346A01034,727.75,6
331,EMAMIREAL,INE778K01012,68.3,20
332,GSLSU,INE0JSX01015,196.8,20
333,GANESHBE,INE388A01029,147.6,20
334,ORICONENT,INE730A01022,23.2,100
335,MANGALAM,INE584F01014,109.55,20
336,ROHLTD,INE283H01019,323.4,22.69
337,KNRCON,INE634I01029,250.3,20
338,MALLCOM,INE389C01015,1084,20
339,ITDC,INE353K01014,329.55,20
