ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF251K01HR8,66G,GR,OMF,7.5,44.25
INF251K01HS6,66MD,DP,OMF,7.5,12.68
INF251K01HT4,66MD,DR,OMF,7.5,12.68
INF251K01HH9,69D,DP,OMF,7.5,22.94
INF251K01HF3,69G,GR,OMF,7.5,70.70
INF251K01HL1,70D,DP,OMF,7.5,23.53
INF251K01HM9,70D,DR,OMF,7.5,23.53
INF251K01HN7,70G,GR,OMF,7.5,176.44
INF251K01HO5,71D,DP,OMF,7.5,55.26
INF251K01HP2,71D,DR,OMF,7.5,55.26
INF251K01HQ0,71G,GR,OMF,7.5,76.25
INF903J01NI3,71PD,DP,OMF,7.5,30.70
INF903J01NJ1,71PD,DR,OMF,7.5,30.70
INF903J01NK9,72PD,GR,OMF,7.5,188.24
INF903J01F92,82PD,GR,OMF,7.5,63.83
INF903J01NF9,91PD,DP,OMF,7.5,26.96
INF903J01NG7,91PD,DR,OMF,7.5,26.96
INF903J01NH5,92PD,GR,OMF,7.5,75.32
INF903J01OB6,94DG,GR,OMF,7.5,28.55
INF903J01NB8,98PD,GR,OMF,7.5,81.23
INF192K01502,AADP,DR,OMF,7.5,13.28
INF846K01172,AEFDP,DP,OMF,7.5,16.87
INF846K01180,AEFDR,DR,OMF,7.5,16.87
INF846K01164,AEFGR,GR,OMF,7.5,46.37
INF761K01ED3,AFDG,DP,OMF,7.5,12.51
INF761K01EE1,AFDM,DP,OMF,7.5,11.29
INF767K01PP0,AFG1G,GR,OMF,7.5,12.49
INF767K01PL9,AFGPG,GR,OMF,7.5,12.10
INF761K01DW5,AFRG,DP,OMF,7.5,12.15
INF846K01743,AISADP,DP,OMF,7.5,12.88
INF846K01750,AISADR,DR,OMF,7.5,12.88
INF846K01693,AISGR,GR,OMF,7.5,25.65
INF846K01701,AISQDP,DP,OMF,7.5,11.17
INF846K01719,AISQDR,DR,OMF,7.5,11.17
INF754K01BP8,ARDD,DP,OMF,7.5,23.31
INF754K01BQ6,ARDD,DR,OMF,7.5,23.31
INF754K01BS2,ARDG,GR,OMF,7.5,43.73
INF846K01644,ASTFIGR,GR,OMF,7.5,26.57
INF846K01651,ASTFIMDP,DP,OMF,7.5,10.22
INF846K01669,ASTFIMDR,DR,OMF,7.5,10.22
INF846K01677,ASTFIRDP,DP,OMF,7.5,10.41
INF846K01685,ASTFIRDR,DR,OMF,7.5,10.41
INF846K01594,ASTFRGR,GR,OMF,7.5,26.27
INF846K01545,ATAFIDDR,DR,OMF,7.5,1013.25
INF846K01537,ATAFIGR,GR,OMF,7.5,2678.66
INF846K01578,ATAFIMDP,DP,OMF,7.5,1012.53
INF846K01586,ATAFIMDR,DR,OMF,7.5,1012.53
INF846K01552,ATAFIWDP,DP,OMF,7.5,1012.00
INF846K01560,ATAFIWDR,DR,OMF,7.5,1012.00
