ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01LA4,B241D,DP,OMF,7.5,19.80
INF209K01VX5,B241DZ,DP,OMF,7.5,20.35
INF209K01LB2,B241G,GR,OMF,7.5,193.74
INF209K01VY3,B241GZ,GR,OMF,7.5,196.87
INF209K01LC0,B241RD,DR,OMF,7.5,19.80
INF209KA1TT1,B249A,DP,OMF,7.5,12.80
INF209KA1TS3,B249B,GR,OMF,7.5,18.41
INF209KA1TU9,B249C,DR,OMF,7.5,12.80
INF209KA1TQ7,B249X,DP,OMF,7.5,14.90
INF209KA1TP9,B249Y,GR,OMF,7.5,20.17
INF209KA1TR5,B249Z,DR,OMF,7.5,14.90
INF209KA1YI4,B250A,DP,OMF,7.5,15.76
INF209KA1YH6,B250B,GR,OMF,7.5,21.54
INF209KA1YJ2,B250C,DR,OMF,7.5,15.76
INF209KA1YL8,B250X,DP,OMF,7.5,16.91
INF209KA1YK0,B250Y,GR,OMF,7.5,23.25
INF209KA1YM6,B250Z,DR,OMF,7.5,16.91
INF209K01Q22,B251DZ,DP,OMF,7.5,73.39
INF209K01Q30,B251GZ,GR,OMF,7.5,559.86
INF209K01Q55,B261DZ,DP,OMF,7.5,36.65
INF209K01WA1,B261GZ,GR,OMF,7.5,324.44
INF209K01WB9,B261RZ,DR,OMF,7.5,36.65
INF209K01Q63,B291DZ,DP,OMF,7.5,41.70
INF209K01WC7,B291GZ,GR,OMF,7.5,176.32
INF209K01Q71,B292DZ,DP,OMF,7.5,48.19
INF209K01WE3,B292GZ,GR,OMF,7.5,109.72
INF209K01WF0,B292RZ,DR,OMF,7.5,48.19
INF209K01WG8,B293DZ,DP,OMF,7.5,32.77
INF209K01WH6,B293GZ,GR,OMF,7.5,68.16
INF209K01EO0,B295D,DP,OMF,7.5,30.73
INF209K01EP7,B295DR,DR,OMF,7.5,30.73
INF209K01WM6,B295DZ,DP,OMF,7.5,57.97
INF209K01EN2,B295G,GR,OMF,7.5,60.53
INF209K01WN4,B295GZ,GR,OMF,7.5,67.33
INF209K01LE6,B296D,DP,OMF,7.5,34.06
INF209K01WP9,B296DZ,DP,OMF,7.5,61.09
INF209K01LF3,B296G,GR,OMF,7.5,83.99
INF209K01WQ7,B296GZ,GR,OMF,7.5,92.94
INF209K01LG1,B296RD,DR,OMF,7.5,34.06
INF209K01Q89,B297DZ,DP,OMF,7.5,33.09
INF209K01WS3,B297GZ,GR,OMF,7.5,33.07
INF209K01WU9,B298GZ,GR,OMF,7.5,29.46
INF209K01WY1,B301GZ,GR,OMF,7.5,116.24
INF209K01XA9,B303GZ,DR,OMF,7.5,35.13
INF209KA1KP8,B303WZ,DP,OMF,7.5,12.79
INF209K01R47,B313DZ,DP,OMF,7.5,25.05
INF209K01XH4,B313GZ,GR,OMF,7.5,60.52
INF209K01XJ0,B313PZ,DP,OMF,7.5,60.52
INF209K01N82,B321GZ,GR,OMF,7.5,42.02
INF209K01S38,B32Z,GR,OMF,7.5,97.79
INF209K01XK8,B341GZ,GR,OMF,7.5,43.79
INF209K01R96,B341WZ,DP,OMF,7.5,11.08
INF084M01BB6,B373,DR,OMF,7.5,24.40
INF084M01AZ7,B374,GR,OMF,7.5,24.39
INF209KA1KS2,B37A,DP,OMF,7.5,12.56
INF209KA1KT0,B37AZ,DP,OMF,7.5,11.14
INF209K01N90,B37Z,DP,OMF,7.5,12.50
INF209KA1K54,B380A,DP,OMF,7.5,11.19
INF209KA1K47,B380B,GR,OMF,7.5,17.83
INF209KA1K62,B380C,DR,OMF,7.5,11.19
INF209KA1K96,B380X,DP,OMF,7.5,12.06
INF209KA1K88,B380Y,GR,OMF,7.5,19.21
INF209K01XP7,B402AZ,GR,GMF,10,74.19
INF209KA1LC4,B403DZ,DP,GMF,10,11.71
INF209K01LQ0,B43G,GR,OMF,7.5,573.46
INF209K01XU7,B43NZ,GR,OMF,7.5,625.34
INF209K01XV5,B44RDZ,DR,OMF,7.5,100.79
INF209K01ME4,B501G,GR,GMF,10,595.14
INF209K01MJ3,B511G,GR,GMF,10,394.10
INF209K01XX1,B51Z,GR,OMF,7.5,1355.96
INF209K01XY9,B52DZ,DR,OMF,7.5,181.27
INF209KA1LE0,B52Z,DP,OMF,7.5,181.27
INF209KB1I07,B55A,DP,OMF,7.5,14.26
INF209KB1H99,B55B,GR,OMF,7.5,14.27
INF209KB1I15,B55C,DR,OMF,7.5,14.26
INF209KB1I23,B55Y,GR,OMF,7.5,15.33
INF209KB1I64,B56A,DP,OMF,7.5,13.94
INF209KB1I56,B56B,GR,OMF,7.5,13.94
INF209KB1I72,B56C,DR,OMF,7.5,13.94
INF209KB1I80,B56Y,GR,OMF,7.5,14.91
INF209KB1J14,B57B,GR,OMF,7.5,12.15
INF209KB1J48,B57Y,GR,OMF,7.5,12.92
INF209KB1J71,B58B,GR,OMF,7.5,11.76
INF209KB1K03,B58Y,GR,OMF,7.5,12.47
INF209KB1O09,B60A,DP,OMF,7.5,15.45
INF209KB1N91,B60B,GR,OMF,7.5,19.31
INF209KB1O17,B60C,DR,OMF,7.5,15.45
INF209KB1O33,B60X,DP,OMF,7.5,16.51
INF209KB1O25,B60Y,GR,OMF,7.5,20.63
INF209KB1O41,B60Z,DR,OMF,7.5,16.51
INF209KB1O74,B66A,DP,OMF,7.5,16.95
INF209KB1O66,B66B,GR,OMF,7.5,19.15
INF209KB1O90,B66X,DP,OMF,7.5,19.10
INF209KB1T53,B67A,DP,OMF,7.5,14.59
INF209KB1T46,B67B,GR,OMF,7.5,16.41
INF209KB1T61,B67C,DR,OMF,7.5,14.59
INF209KB1T79,B67Y,GR,OMF,7.5,17.16
INF209KB1U50,B68A,DP,OMF,7.5,12.89
INF209KB1U43,B68B,GR,OMF,7.5,12.89
INF209KB1U68,B68C,DR,OMF,7.5,12.89
INF209KB1U76,B68Y,GR,OMF,7.5,13.46
INF209KB1W58,B70A,DP,OMF,7.5,14.94
INF209KB1W41,B70BB,GR,OMF,7.5,14.94
INF209KB1W66,B70C,DR,OMF,7.5,14.94
INF209KB1W74,B70Y,GR,OMF,7.5,15.17
INF209KB1Y31,B71A,DP,OMF,7.5,13.72
INF209KB1Y23,B71B,GR,OMF,7.5,13.72
INF209KB1Y56,B71X,DP,OMF,7.5,14.23
INF209KB1Y49,B71Y,GR,OMF,7.5,14.23
INF209KB1Z55,B79A,DP,OMF,7.5,12.76
INF209KB1Z48,B79B,GR,OMF,7.5,12.76
INF209KB1Z63,B79C,DR,OMF,7.5,12.76
INF209KB1Z71,B79Y,GR,OMF,7.5,12.93
INF209KB17B9,B80A,DP,OMF,7.5,10.67
INF209KB16B1,B80B,GR,OMF,7.5,10.67
INF209KB19B5,B80X,DP,OMF,7.5,10.70
INF209KB18B7,B80Y,GR,OMF,7.5,10.70
INF209KA13Z9,B85IFR,DR,OMF,7.5,112.88
INF209KA12Z1,B85IFZ,DP,OMF,7.5,112.88
INF209K01LU2,B85NDD,DP,OMF,7.5,111.04
INF209K01YM2,B85NDZ,DP,OMF,7.5,114.39
INF209K01YN0,B85NGZ,GR,OMF,7.5,325.78
INF209K01LX6,B85NIF,DP,OMF,7.5,159.65
INF209K01LV0,B85NIG,GR,OMF,7.5,316.00
INF209K01LN7,B85NIM,DP,OMF,7.5,108.71
INF209KA11Z3,B85NIR,DR,OMF,7.5,159.65
INF209K01YO8,B85NMZ,DP,OMF,7.5,111.87
INF209K01PG2,B916D,DP,OMF,7.5,17.63
INF209K01PH0,B916DR,DR,OMF,7.5,17.63
INF209K01YT7,B916DZ,DP,OMF,7.5,18.21
INF209K01PF4,B916G,GR,OMF,7.5,17.63
INF209K01YU5,B916GZ,GR,OMF,7.5,18.20
INF209K01YW1,B91DDZ,DR,OMF,7.5,82.70
INF209K01YX9,B91Z,DP,OMF,7.5,82.70
INF209K01YY7,B92Z,GR,OMF,7.5,416.99
INF209KB19E9,B95B,GR,OMF,7.5,10.63
INF209KB11F3,B95Y,GR,OMF,7.5,10.68
INF767K01QW4,BADDP,DP,OMF,7.5,11.00
INF767K01QX2,BADPR,DR,OMF,7.5,11.00
INF209K01ZB2,BADZ,DR,OMF,7.5,258.62
INF200KA1Y65,BAF638D,DR,OMF,7.5,11.76
INF200KA1Y57,BAF638DP,DP,OMF,7.5,11.76
INF200KA1Y40,BAF638G,GR,OMF,7.5,11.76
INF200KA1Y99,BAFD638D,DR,OMF,7.5,12.00
INF200KA1Y73,BAFD638G,GR,OMF,7.5,12.00
INF200KA1Y81,BAFD638P,DP,OMF,7.5,12.00
INF761K01EV5,BAFOVDD,DR,GMF,10,1000.00
INF761K01EU7,BAFOVDG,DR,GMF,10,1156.77
INF761K01EZ6,BAFOVRG,GR,GMF,10,1154.06
INF767K01QY0,BAG1G,GR,OMF,7.5,11.49
INF767K01QV6,BAGPG,GR,OMF,7.5,11.15
INF209K01ZC0,BAGZ,GR,OMF,7.5,1251.33
INF959L01FT4,BANKINDE,GR,OMF,7.5,11.62
INF959L01FU2,BANKINDEX,GR,OMF,7.5,11.50
INF209KA1LH3,BAZ,DP,OMF,7.5,258.62
INF761K01FL3,BCDDG,GR,OMF,7.5,11.82
INF084M01DP2,BD1034,GR,OMF,7.5,33.86
INF084M01DJ5,BD105,GR,OMF,7.5,90.13
INF084M01EB0,BD1050,GR,OMF,7.5,20.56
INF084M01EQ8,BD1054,GR,OMF,7.5,27.99
INF084M01ET2,BD1057,GR,OMF,7.5,32.94
INF084M01DL1,BD106,DP,OMF,7.5,26.28
INF084M01EW6,BD1060,GR,OMF,7.5,40.82
INF084M01DK3,BD106P,DP,OMF,7.5,26.28
INF084M01EH7,BD374,GR,OMF,7.5,25.62
INF767K01EW0,BFG1G,GR,OMF,7.5,65.82
INF789F01ON2,BFIDR,DR,OMF,7.5,1182.76
INF789F01OT9,BFIGG,GR,OMF,7.5,3068.74
INF789F01PB4,BFWID,DP,OMF,7.5,1185.74
INF789F01PC2,BFWIR,DR,OMF,7.5,1185.74
INF767K01NG4,BKDPD,DP,OMF,7.5,17.20
INF767K01NI0,BKDPR,DR,OMF,7.5,17.20
INF767K01NK6,BKG1G,GR,OMF,7.5,18.84
INF767K01NH2,BKGPG,GR,OMF,7.5,17.20
INF767K01EC2,BLD1D,DP,OMF,7.5,16.44
INF767K01EE8,BLD1R,DR,OMF,7.5,16.44
INF767K01022,BLDPD,DP,OMF,7.5,14.19
INF767K01030,BLDPG,GR,OMF,7.5,147.35
INF767K01014,BLDPR,DR,OMF,7.5,14.19
INF767K01ED0,BLG1G,GR,OMF,7.5,163.68
INF251K01894,BNP01G,GR,OMF,7.5,156.64
INF251K01910,BNP02DP,DP,OMF,7.5,20.05
INF251K01902,BNP02DR,DR,OMF,7.5,20.05
INF251K01AX1,BNP05DP,DP,OMF,7.5,45.01
INF251K01AY9,BNP05DR,DR,OMF,7.5,45.01
INF251K01AW3,BNP05G,GR,OMF,7.5,65.97
INF251K01AA9,BNP09DP,DP,OMF,7.5,18.53
INF251K01985,BNP09G,GR,OMF,7.5,64.27
INF251K01845,BNP11G,GR,OMF,7.5,37.46
INF251K01852,BNP12DP,DP,OMF,7.5,10.78
INF251K01860,BNP12DR,DR,OMF,7.5,10.78
INF251K01DQ9,BNP17G,GR,OMF,7.5,35.03
INF251K01DW7,BNP21,GR,OMF,7.5,39.67
INF251K01EB9,BNP22,DP,OMF,7.5,10.27
INF251K01EC7,BNP22,DR,OMF,7.5,10.27
INF251K01QT5,BNPAFDGG,GR,OMF,7.5,10.92
INF251K01EP9,BNPBONDIG,GR,OMF,7.5,23.53
INF251K01EI4,BNPBONDRG,GR,OMF,7.5,27.23
INF251K01LT6,BNPMTIG,GR,OMF,7.5,16.38
INF761K01DH6,BOICSRGG,GR,OMF,7.5,10.85
INF761K01BP3,BOIEDRDD,DP,OMF,7.5,14.01
INF761K01BQ1,BOIEDRDR,DR,OMF,7.5,14.01
INF761K01BR9,BOIEDRGG,GR,OMF,7.5,20.09
INF761K01082,BOIEFRDD,DP,OMF,7.5,18.27
INF761K01090,BOIEFRDR,DR,OMF,7.5,18.27
INF761K01108,BOIEFRGG,GR,OMF,7.5,61.22
INF761K01116,BOIEFRQD,DP,OMF,7.5,22.29
INF761K01124,BOIEFRQR,DR,OMF,7.5,22.29
INF761K01215,BOIFIRDD,DP,OMF,7.5,22.24
INF761K01207,BOIFIRDR,DR,OMF,7.5,22.24
INF761K01199,BOIFIRGG,GR,OMF,7.5,34.89
INF761K01579,BOIIFRGG,GR,OMF,7.5,22.95
INF761K01CO4,BOILFRDR,DR,GMF,10,1002.11
INF761K01306,BOILFRGG,GR,GMF,10,2617.32
INF761K01DM6,BOIMCDGG,GR,OMF,7.5,26.70
INF761K01462,BOIRRRGG,GR,OMF,7.5,29.14
INF761K01165,BOITARDD,DP,OMF,7.5,21.24
INF761K01181,BOITARGG,GR,OMF,7.5,110.25
INF761K01CW7,BOITFRDR,DR,OMF,7.5,1007.45
INF761K01298,BOITFRGG,GR,OMF,7.5,2786.21
INF955L01831,BPBSD,DP,OMF,7.5,18.08
INF955L01856,BPBSG,GR,OMF,7.5,33.52
INF789F012Z3,BPDPD,DP,OMF,7.5,13.01
INF789F013Z1,BPDPR,DR,OMF,7.5,13.01
INF955L01KC8,BPFBPD2G,GR,OMF,7.5,11.04
INF955L01JX6,BPFBPGPG,GR,OMF,7.5,10.92
INF789FA1U61,BPFDD,DP,OMF,7.5,12.71
INF789FA1U79,BPFDR,DR,OMF,7.5,12.71
INF955L01JU2,BPFLMD2G,GR,OMF,7.5,19.18
INF955L01JS6,BPFLMDPD,DP,OMF,7.5,15.84
INF955L01JT4,BPFLMDPR,DR,OMF,7.5,15.84
INF955L01JR8,BPFLMGPG,GR,OMF,7.5,18.32
INF955L01450,BPGFG,GR,GMF,10,36.37
INF789F014Z9,BPGPG,GR,OMF,7.5,18.95
INF955L01658,BPGRD,DP,OMF,7.5,43.93
INF955L01674,BPGRG,GR,OMF,7.5,191.85
INF955L01666,BPGRR,DR,OMF,7.5,43.93
INF955L01484,BPLFG,GR,GMF,10,2619.79
INF955L01ID0,BPMFBMD2,GR,GMF,10,1211.93
INF955L01HY8,BPMFBMGP,GR,GMF,10,1199.10
INF955L01971,BPMFBSD2,GR,OMF,7.5,36.48
INF955L01FR6,BPMFCOD2,GR,OMF,7.5,20.61
INF955L01FP0,BPMFCOGP,GR,OMF,7.5,19.01
INF955L01HG5,BPMFDED1,DP,OMF,7.5,15.61
INF955L01HH3,BPMFDED1,DR,OMF,7.5,15.61
INF955L01HF7,BPMFDED2,GR,OMF,7.5,19.52
INF955L01HD2,BPMFDEDPD,DP,OMF,7.5,14.60
INF955L01HE0,BPMFDEDPR,DR,OMF,7.5,14.60
INF955L01HC4,BPMFDEGPG,GR,OMF,7.5,18.30
INF955L01IN9,BPMFESD1,DR,OMF,7.5,12.26
INF955L01IL3,BPMFESD2,GR,OMF,7.5,14.03
INF955L01II9,BPMFESGP,GR,OMF,7.5,13.45
INF955L01AD7,BPMFGFD2,GR,GMF,10,39.66
INF955L01AE5,BPMFGRD1,GR,OMF,7.5,45.66
INF955L01AG0,BPMFGRD2,GR,OMF,7.5,210.87
INF955L01AK2,BPMFLFD1,DR,GMF,10,1002.08
INF955L01AL0,BPMFLFD2,GR,GMF,10,2646.00
INF955L01HW2,BPMFOFD1,DR,GMF,10,1000.00
INF955L01HV4,BPMFOFD2,GR,GMF,10,1198.79
INF955L01HS0,BPMFOFIG,GR,GMF,10,1195.88
INF955L01BD5,BPMFSTD2,GR,OMF,7.5,27.02
INF955L01138,BPMFSTDPR,DP,OMF,7.5,10.18
INF955L01153,BPMFSTGPG,GR,OMF,7.5,25.23
INF955L01GZ7,BPMFUSD1,DR,OMF,7.5,1007.08
INF955L01HA8,BPMFUSD2,GR,OMF,7.5,1351.68
INF955L01GW4,BPMFUSIDR,DR,OMF,7.5,1006.26
INF955L01GX2,BPMFUSIGG,GR,OMF,7.5,1339.44
INF179KA1JD2,BPRD,DP,OMF,7.5,10.15
INF179KA1JE0,BPRDR,DR,OMF,7.5,10.15
INF179KA1JC4,BPRG,GR,OMF,7.5,19.83
INF955L01146,BPSTR,DR,OMF,7.5,10.18
INF209K01090,BSL02,DP,OMF,7.5,164.53
INF209K01CB1,BSL02,DR,OMF,7.5,164.53
INF209K01108,BSL02G,GR,OMF,7.5,43.55
INF209K01132,BSL15,DP,OMF,7.5,38.73
INF209K01CD7,BSL15,DR,OMF,7.5,38.73
INF209K01140,BSL16,GR,OMF,7.5,126.60
INF209K01157,BSL201D,DP,OMF,7.5,117.77
INF209K01CE5,BSL201D,DR,OMF,7.5,117.77
INF209K01165,BSL201G,GR,OMF,7.5,658.61
INF209K01199,BSL203RD,DP,OMF,7.5,19.68
INF209K01CG0,BSL203RD,DR,OMF,7.5,19.68
INF209K01207,BSL203RG,GR,OMF,7.5,34.16
INF209K01256,BSL205RD,DP,OMF,7.5,11.21
INF209K01CI6,BSL205RD,DR,OMF,7.5,11.21
INF209K01264,BSL205RG,GR,OMF,7.5,23.11
INF209K01314,BSL221D,DP,OMF,7.5,175.13
INF209K01CL0,BSL221D,DR,OMF,7.5,175.13
INF209K01322,BSL221G,GR,OMF,7.5,1014.03
INF209K01355,BSL251D,DP,OMF,7.5,43.75
INF209K01CN6,BSL251D,DR,OMF,7.5,43.75
INF209K01363,BSL251G,GR,OMF,7.5,511.19
INF209K01397,BSL261D,DP,OMF,7.5,20.53
INF209K01CP1,BSL261D,DR,OMF,7.5,20.53
INF209K01405,BSL261G,GR,OMF,7.5,300.22
INF209K01439,BSL291D,DP,OMF,7.5,33.60
INF209K01CR7,BSL291D,DR,OMF,7.5,33.60
INF209K01447,BSL291G,GR,OMF,7.5,157.56
INF209K01454,BSL292D,DP,OMF,7.5,20.85
INF209K01CS5,BSL292D,DR,OMF,7.5,20.85
INF209K01462,BSL292G,GR,OMF,7.5,99.28
INF209K01470,BSL293D,DP,OMF,7.5,21.31
INF209K01CT3,BSL293D,DR,OMF,7.5,21.31
INF209K01504,BSL293G,GR,OMF,7.5,62.93
INF209K01512,BSL297D,DP,OMF,7.5,16.26
INF209K01CV9,BSL297D,DR,OMF,7.5,16.26
INF209K01520,BSL297G,GR,OMF,7.5,31.03
INF209K01538,BSL298D,DP,OMF,7.5,19.31
INF209K01CW7,BSL298D,DR,OMF,7.5,19.31
INF209K01546,BSL298G,GR,OMF,7.5,28.03
INF209K01579,BSL301G,GR,OMF,7.5,108.73
INF209K01587,BSL301QD,DP,OMF,7.5,13.20
INF209K01CY3,BSL301QD,DR,OMF,7.5,13.20
INF209K01595,BSL303FD,DP,OMF,7.5,12.75
INF209K01CZ0,BSL303FD,DR,OMF,7.5,12.75
INF209K01603,BSL303G,GR,OMF,7.5,32.77
INF209K01611,BSL303MD,DP,OMF,7.5,15.22
INF209K01DA1,BSL303MD,DR,OMF,7.5,15.22
INF209K01751,BSL313G,GR,OMF,7.5,55.16
INF209K01769,BSL313MD,DP,OMF,7.5,15.63
INF209K01DF0,BSL313MD,DR,OMF,7.5,15.63
INF209K01777,BSL313MP,GR,OMF,7.5,55.16
INF209K01785,BSL32,GR,OMF,7.5,96.50
INF209K01793,BSL321G,GR,OMF,8,39.62
INF209K01801,BSL321MD,DP,OMF,7.5,10.47
INF209K01DG8,BSL321MD,DR,OMF,7.5,10.47
INF209K01819,BSL321QD,DP,OMF,7.5,10.50
INF209K01DH6,BSL321QD,DR,OMF,7.5,10.50
INF209K01MC8,BSL331G,GR,OMF,7.5,458.47
INF209K01942,BSL341G,GR,OMF,7.5,40.98
INF209K01975,BSL341QD,DP,OMF,7.5,17.03
INF209K01DK0,BSL341QD,DR,OMF,7.5,17.03
INF209K01983,BSL37,DP,OMF,7.5,12.36
INF209K01DL8,BSL37,DR,OMF,7.5,12.36
INF209K01AC3,BSL402AG,GR,GMF,10,69.94
INF209K01AD1,BSL402IG,GR,GMF,10,69.94
INF209K01AF6,BSL403QD,DP,GMF,10,11.13
INF209K01DP9,BSL403QD,DR,GMF,10,11.13
INF209K01AJ8,BSL51,GR,OMF,7.5,1233.19
INF209K01MF1,BSL512G,GR,OMF,7.5,433.06
INF209K01AQ3,BSL52,DP,OMF,7.5,130.44
INF209K01DT1,BSL52,DR,OMF,7.5,130.44
INF209K01BO6,BSL91,DP,OMF,8.5,35.10
INF209K01EC5,BSL91,DR,OMF,8.5,35.10
INF209K01BR9,BSL92,GR,OMF,8.5,382.43
INF209K01BS7,BSLA,DP,OMF,7.5,153.76
INF209K01EE1,BSLA,DR,OMF,7.5,153.76
INF209K01BT5,BSLAG,GR,OMF,7.5,1134.91
INF789F1A538,CBFDPGRO,GR,OMF,7.5,14.31
INF789F1A447,CBFRPGRO,GR,OMF,7.5,14.09
INF789F1A454,CBFRPQDP,DP,OMF,7.5,12.25
INF789F1A462,CBFRPQDR,DR,OMF,7.5,12.25
INF179KA1I87,CDNDR,DP,OMF,7.5,19.06
INF179KA1I61,CDNDT,DP,OMF,7.5,19.37
INF179KA1I79,CDNRR,DR,OMF,7.5,19.06
INF179KA1I53,CDNRT,DR,OMF,7.5,19.37
INF179KA1GD8,CDODR,DP,OMF,7.5,10.20
INF179KA1GA4,CDODT,DP,OMF,7.5,10.52
INF179KA1GC0,CDOGR,GR,OMF,7.5,20.70
INF179KA1FZ3,CDOGT,GR,OMF,7.5,22.10
INF179KA1GE6,CDORR,DP,OMF,7.5,10.20
INF179KA1GB2,CDORT,DR,OMF,7.5,10.52
INF767K01048,CFGPG,GR,OMF,7.5,25.57
INF277KA1588,CIGIF26B,GR,GMF,10,10.58
INF277KA1554,CIGIF26D,GR,GMF,10,10.60
INF789F01RA2,CODPD,DP,OMF,7.5,10.49
INF789F01RB0,CODPR,DR,OMF,7.5,10.49
INF789F01QZ1,COGPG,GR,OMF,7.5,14.77
INF789F01XP8,CPD1R,DR,GMF,10,1062.54
INF789F01XQ6,CPD2G,GR,GMF,10,3761.31
INF789FA1K22,CPD6D,DP,GMF,10,1562.26
INF789FA1K30,CPD6R,DR,GMF,10,1562.26
INF247L01494,CPDPD,DP,OMF,7.5,23.22
INF247L01486,CPDPR,DR,OMF,7.5,23.22
INF789FA1J09,CPFTD,DP,GMF,10,1154.21
INF789FA1J17,CPFTR,DR,GMF,10,1154.21
INF247L01502,CPGDG,GR,OMF,7.5,38.91
INF247L01478,CPGPG,GR,OMF,7.5,35.72
INF789F01PG3,CPIDR,DR,GMF,10,1081.19
INF789F01PH1,CPIGG,GR,GMF,10,3733.97
INF789F01PI9,CPIMD,DP,GMF,10,1047.77
INF789F01PJ7,CPIMR,DR,GMF,10,1047.77
INF789F01PK5,CPIWR,DR,GMF,10,1054.06
INF247L01528,CPPDD,DP,OMF,7.5,23.72
INF247L01510,CPPDR,DR,OMF,7.5,23.72
INF200KA12D7,CPSE649D,DR,OMF,7.5,10.59
INF200KA11D9,CPSE649DP,DP,OMF,7.5,10.59
INF200KA10D1,CPSE649G,GR,OMF,7.5,10.59
INF200KA13D5,CPSED649G,GR,OMF,7.5,10.62
INF760K01KC4,CRBPDG,GR,OMF,7.5,10.52
INF760K01KF7,CRBPGP,GR,OMF,7.5,10.50
INF760K01DS5,CRCFDD,DP,OMF,7.5,67.32
INF760K01DT3,CRCFDD,DR,OMF,7.5,67.32
INF760K01DU1,CRCFDG,GR,OMF,7.5,88.20
INF760K01225,CRCFDP,DP,OMF,7.5,37.80
INF760K01233,CRCFDPR,DR,OMF,7.5,37.80
INF760K01241,CRCFGP,GR,OMF,7.5,78.68
INF760K01DX5,CRCYDG,GR,OMF,7.5,23.87
INF760K01DV9,CRCYDM,DP,OMF,7.5,16.95
INF760K01DW7,CRCYDM,DR,OMF,7.5,16.95
INF760K01BO8,CRCYDP,DP,OMF,7.5,15.04
INF760K01BN0,CRCYDP,DR,OMF,7.5,15.04
INF760K01BM2,CRCYGP,GR,OMF,7.5,22.15
INF760K01BQ3,CRCYQP,DP,OMF,7.5,14.83
INF760K01BP5,CRCYQP,DR,OMF,7.5,14.83
INF760K01EC7,CRDBDG,GR,OMF,7.5,27.86
INF760K01449,CRDBGPG,GR,OMF,7.5,25.81
INF760K01ED5,CRDVDD,DP,OMF,7.5,74.19
INF760K01EE3,CRDVDD,DR,OMF,7.5,74.19
INF760K01EF0,CRDVDG,GR,OMF,7.5,268.41
INF760K01035,CRDVDPR,DR,OMF,7.5,49.96
INF760K01EG8,CREQDD,DP,OMF,7.5,99.00
INF760K01EH6,CREQDD,DR,OMF,7.5,99.00
INF760K01175,CREQDP,DP,OMF,7.5,66.46
INF760K01EI4,CREQDP,GR,OMF,7.5,197.30
INF760K01183,CREQDPR,DR,OMF,7.5,66.46
INF760K01167,CREQGP,GR,OMF,7.5,175.96
INF760K01EJ2,CRETDD,DP,OMF,7.5,62.72
INF760K01EL8,CRETDG,GR,OMF,7.5,139.04
INF760K01084,CRETDP,DP,OMF,7.5,39.63
INF760K01100,CRETGP,GR,OMF,7.5,127.35
INF760K01027,CRFDVD,DP,OMF,7.5,49.96
INF760K01019,CRFDVG,GR,OMF,7.5,244.96
INF760K01JS2,CRFEDD,DP,OMF,7.5,14.18
INF760K01JR4,CRFEDD,DR,OMF,7.5,14.18
INF760K01JQ6,CRFEDG,GR,OMF,7.5,14.18
INF760K01JV6,CRFEDP,DP,OMF,7.5,13.63
INF760K01JU8,CRFEDP,DR,OMF,7.5,13.63
INF760K01JT0,CRFEGP,GR,OMF,7.5,13.68
INF760K01803,CRFRDDR,DR,OMF,7.5,10.26
INF760K01ET1,CRFRDG,GR,OMF,7.5,37.42
INF760K01AM4,CRFRDMD,DP,OMF,7.5,10.29
INF760K01AN2,CRFRDMR,DR,OMF,7.5,10.29
INF760K01779,CRFRDPD,DP,OMF,7.5,32.80
INF760K01787,CRFRDPR,DR,OMF,7.5,32.80
INF760K01795,CRFRGPG,GR,OMF,7.5,36.62
INF760K01EX3,CRGBDD,DP,OMF,7.5,109.94
INF760K01EY1,CRGBDD,DR,OMF,7.5,109.94
INF760K01EZ8,CRGBDG,GR,OMF,7.5,297.22
INF760K01068,CRGBDP,DP,OMF,7.5,88.00
INF760K01076,CRGBDPR,DR,OMF,7.5,88.00
INF760K01050,CRGBOE,GR,OMF,7.5,268.81
INF760K01FC4,CRGLDG,GR,GMF,10,69.45
INF760K01AB7,CRGLDPD,DP,GMF,10,14.62
INF760K01AC5,CRGLDPR,DR,GMF,10,14.62
INF760K01AE1,CRGLGPG,GR,GMF,10,65.41
INF760K01FI1,CRIFDG,GR,OMF,7.5,53.40
INF760K01340,CRIFDPD,DP,OMF,7.5,14.58
INF760K01357,CRIFDPR,DR,OMF,7.5,14.58
INF760K01324,CRIFGPG,GR,OMF,7.5,48.70
INF760K01FM3,CRINDD,DP,OMF,7.5,57.96
INF760K01FN1,CRINDD,DR,OMF,7.5,57.96
INF760K01FO9,CRINDG,GR,OMF,7.5,104.13
INF760K01258,CRINDP,DP,OMF,7.5,42.50
INF760K01266,CRINDPR,DR,OMF,7.5,42.50
INF760K01274,CRINGP,GR,OMF,7.5,95.06
INF760K01FP6,CRLCDD,DP,OMF,7.5,41.61
INF760K01FQ4,CRLCDD,DR,OMF,7.5,41.61
INF760K01FR2,CRLCDG,GR,OMF,7.5,51.62
INF760K01AS1,CRLCDP,DP,OMF,7.5,23.38
INF760K01AT9,CRLCDPR,DR,OMF,7.5,23.38
INF760K01AR3,CRLCGP,GR,OMF,7.5,45.77
INF760K01FS0,CRLIDD,DR,GMF,10,1005.50
INF760K01FU6,CRLIDG,GR,GMF,10,2749.48
INF760K01CU3,CRLISDR,DR,GMF,10,1005.50
INF760K01CW9,CRLISGG,GR,GMF,10,2738.16
INF760K01BZ4,CRLISWD,DP,GMF,10,1001.48
