MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N0,CHOLAFIN,SEC RE NCD 8.25% SR.I,      1016.00,      1016.00,      1016.00,      1016.00,      1016.00,                   203200.00,200, ,1,      1016.99,      1000.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       258.00,       258.00,       260.00,       254.04,       254.04,                    79865.36,310, ,10,       265.98,       215.15
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       259.90,       253.41,       259.86,       253.41,       259.86,                    41861.92,163, ,5,       261.37,       243.71
N,N1,M&MFIN,8.72% UNSECURED NCD,      1015.00,      1020.00,      1020.00,      1020.00,      1020.00,                    11220.00,11, ,1,      1187.00,       972.40
N,N1,NAVIFIN,SEC RE NCD 9.20% SR. I,       996.50,       993.00,       999.50,       992.01,       997.00,                   726022.41,730, ,15,      1005.00,       980.00
N,N1,UGROCAP,SEC RED NCD 10.03%,       350.50,       355.00,       355.00,       325.20,       329.95,                   317322.20,901, ,10,      1008.00,       320.00
N,N2,CHOLAFIN,SEC RE NCD 8.30% SR.III,      1005.00,      1005.00,      1005.00,      1002.51,      1003.16,                   832046.09,829, ,16,      1005.80,       990.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1120.00,      1120.00,      1124.99,      1120.00,      1124.99,                    75289.50,67, ,2,      1350.00,      1005.99
N,N2,INCREDFIN,SEC RE NCD 9.25% SR.II,      1020.00,      1020.00,      1020.00,      1020.00,      1020.00,                     1020.00,1, ,1,      1105.00,       901.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1150.00,      1158.00,      1159.85,      1150.00,      1156.00,                  1971822.35,1705, ,22,      1195.00,      1099.80
N,N2,M&MFIN,9.00% UNSECURED NCD,      1024.16,      1023.00,      1033.00,      1023.00,      1031.00,                    95823.00,93, ,4,      1159.00,      1017.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1150.00,      1150.10,      1150.10,      1150.10,      1150.10,                    57505.00,50, ,1,      1213.00,      1117.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1160.43,      1161.00,      1161.99,      1160.00,      1160.00,                   562692.95,485, ,11,      1223.80,      1060.10
N,N2,NHIT,SEC RE NCD 7.90% STRPP B,       310.40,       310.60,       311.00,       310.60,       311.00,                    25807.40,83, ,2,       320.21,       298.66
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1122.00,      1126.00,      1130.00,      1126.00,      1130.00,                    11264.00,10, ,2,      1172.00,      1077.14
N,N3,BRITANNIA,UNSEC RED NCD 5.50%,        28.30,        28.49,        28.49,        28.25,        28.29,                   132319.54,4676, ,107,        31.00,        28.00
N,N3,CREDITACC,SEC RE NCD 9.60% SR. III,      1014.05,      1015.95,      1015.95,      1015.95,      1015.95,                    20319.00,20, ,1,      1036.70,       970.00
N,N3,NAVIFIN,SEC RE NCD 9.40% SR. III,       991.00,       991.00,       995.00,       990.00,       992.97,                  1351154.55,1361, ,17,      1150.00,       986.00
N,N3,NHIT,SEC RE NCD 7.90% STRPP C,       418.31,       419.10,       420.98,       419.10,       420.97,                  1516834.59,3610, ,14,       421.15,       399.56
N,N3,UGROCAP,SEC RED NCD 10.15% SR. II,       991.50,       992.10,       992.10,       992.10,       992.10,                     8928.90,9, ,1,      1015.00,       852.00
N,N4,CHOLAFIN,SEC RE NCD 8.40% SR.V,      1016.30,      1020.97,      1020.97,      1020.18,      1020.18,                    11222.77,11, ,2,      1020.97,      1000.00
N,N4,IIHFL,UNSEC RE NCD 10% SR.I,      1051.02,      1052.02,      1052.02,      1050.00,      1051.00,                   115606.06,110, ,7,      1149.00,       925.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1129.11,      1169.90,      1169.90,      1159.71,      1159.71,                    29146.70,25, ,3,      1238.00,       915.10
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1042.11,      1058.88,      1058.88,      1053.46,      1053.46,                     6347.86,6, ,2,      1199.88,      1015.00
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1058.00,      1057.05,      1072.97,      1057.05,      1072.97,                   233347.00,220, ,2,      1139.95,      1018.10
N,N4,PCHFL,SEC RE NCD SR.II,      1157.00,      1156.90,      1156.90,      1156.90,      1156.90,                   115690.00,100, ,2,      1172.00,      1044.58
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1003.25,      1003.10,      1017.98,      1000.00,      1016.49,                   194740.68,194, ,15,      1120.00,       995.10
N,N4,UGROCAP,SEC RED NCD 10.40% SR.III,       990.00,      1000.00,      1000.00,       995.00,       995.40,                   144829.00,145, ,6,      1111.00,       951.00
N,N5,CREDITACC,SEC RE NCD 10% SR. V,      1050.00,      1050.00,      1050.00,      1050.00,      1050.00,                    78750.00,75, ,3,      1072.00,      1008.00
N,N5,EHFLNCD,SEC RED NCD 9.57% SR. V,       973.00,       999.00,       999.00,       999.00,       999.00,                    99900.00,100, ,1,      1100.00,       900.00
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       917.14,       921.80,       921.80,       912.00,       914.19,                   423669.00,462, ,15,       970.00,       880.00
N,N5,IIHFL,UNSEC RE NCD 9.60% SR.II,       987.09,       988.00,       991.75,       987.15,       990.00,                 12651428.77,12782, ,78,      1012.00,       965.00
N,N5,PFC,8.30% TAX FREE NCD,      1152.00,      1150.00,      1152.10,      1150.00,      1152.00,                   350791.50,305, ,3,      1218.70,      1104.05
N,N6,DHANILOANS,DHANI LOANS & SERV LTD,       995.00,       995.00,       995.00,       993.99,       994.47,                   286401.69,288, ,12,      1035.00,       955.00
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,       976.01,       975.10,       975.31,       970.00,       970.00,                   141224.20,145, ,11,      1078.99,       941.00
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1009.30,      1050.00,      1050.00,      1050.00,      1050.00,                   367500.00,350, ,1,      1099.00,      1000.00
N,N6,IIHFL,UNSEC RE NCD 0% SR.III,      1070.00,      1070.00,      1092.00,      1070.00,      1092.00,                   244592.00,226, ,5,      1165.00,       992.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1205.00,      1206.00,      1206.00,      1203.90,      1203.90,                   668909.60,555, ,12,      1277.48,      1150.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      6746.00,      6740.00,      6745.00,      6727.00,      6743.86,                  1550319.00,230, ,11,      7140.00,      5775.00
N,N6,NHBTF2023,NHB 8.93 NCD TR II SR 2 B,      5927.00,      5926.80,      5927.00,      5926.80,      5927.00,                   177807.00,30, ,3,      6499.99,      5265.00
N,N6,NHPC,8.92% SEC RED BOND S3B,      1295.00,      1294.90,      1295.00,      1294.90,      1295.00,                   291369.20,225, ,2,      1448.00,      1242.65
N,N6,PCHFL,SEC RE NCD 8.50% SR.III,       994.50,       995.00,       995.00,       995.00,       995.00,                    50745.00,51, ,3,      1099.00,       992.30
N,N6,POONAWALLA,SEC RED NCD 10.27% SR. VI,      1010.00,      1090.00,      1090.00,      1090.00,      1090.00,                     1090.00,1, ,1,      1198.99,       960.80
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1046.00,      1038.65,      1040.00,      1030.00,      1040.00,                   496894.35,480, ,21,      1105.00,       910.00
