Confirmed list of securities to be auctioned in A 2023129 to be held on Jul 12 2023.

Sr No,Symbol,Series,Total Qty
156,MIRCELECTR,EQ,89270
157,MODISONLTD,EQ,10
158,MOIL,EQ,100
159,MOMENTUM,EQ,1163
160,MONTECARLO,EQ,6
161,MOTHERSON,EQ,52
162,MOTOGENFIN,EQ,1
163,MTARTECH,EQ,1
164,MUNJALSHOW,EQ,210
165,MUTHOOTCAP,EQ,40
166,NATHBIOGEN,EQ,1
167,NCC,EQ,150
168,NCLIND,EQ,8
169,NELCAST,EQ,8
170,NFL,EQ,50
171,NIPPOBATRY,EQ,4
172,NIRMAN,SM,2400
173,NMDC,EQ,300
174,NSIL,EQ,9
175,NTPC,EQ,11
176,NYKAA,EQ,265
177,OLECTRA,EQ,25
178,OPTIEMUS,EQ,45
179,ORISSAMINE,EQ,7
180,OSWALGREEN,EQ,191
181,PANACHE,EQ,16
182,PANAMAPET,EQ,96
183,PARAS,EQ,25
184,PCJEWELLER,EQ,62011
185,PEL,EQ,66
186,PENINLAND,EQ,4
187,PFC,EQ,300
188,PFS,EQ,500
189,PHOENIXLTD,EQ,39
190,PIIND,EQ,30
191,PLASTIBLEN,EQ,1
192,PNB,EQ,130
193,POLYCAB,EQ,100
194,POWERMECH,EQ,5
195,PPL,EQ,52
196,PREMEXPLN,EQ,30515
197,PTCIL,EQ,218
198,RALLIS,EQ,23
199,RAMANEWS,EQ,30
200,RAMCOCEM,EQ,50
201,RAMKY,EQ,1
202,RBLBANK,EQ,100
203,RCF,EQ,30
204,REFEX,EQ,32
205,RELCHEMQ,EQ,25
206,RELIANCE,EQ,311
207,REMUS,SM,100
208,REPL,EQ,1
209,RPOWER,EQ,27
210,RSWM,EQ,28
211,RUBYMILLS,EQ,200
212,SANGHIIND,EQ,2395
213,SANGHVIMOV,EQ,470
214,SDBL,EQ,8
215,SDL26BEES,EQ,219
216,SEPC,EQ,51687
217,SESHAPAPER,EQ,1
218,SETF10GILT,EQ,115
219,SHALPAINTS,EQ,1
220,SHAREINDIA,W1,249
221,SHILPAMED,EQ,500
222,SHRIRAMFIN,EQ,63
223,SHYAMMETL,EQ,79
224,SIEMENS,EQ,9
225,SIMPLEXINF,EQ,8
226,SJS,EQ,1
227,SOLARINDS,EQ,10
228,SONACOMS,EQ,10
229,SOTL,EQ,11
230,SOUTHBANK,EQ,25
231,SPAL,EQ,95
232,SPARC,EQ,500
233,SPECIALITY,EQ,1
234,SRHHYPOLTD,EQ,1
235,STERTOOLS,EQ,1
236,STYRENIX,EQ,68
237,SULA,EQ,13
238,SUNFLAG,EQ,20
239,SUNPHARMA,EQ,200
240,SUPRIYA,EQ,2
241,SUZLON,EQ,501
242,TAJGVK,EQ,618
243,TAKE,EQ,6
244,TATACHEM,EQ,49
245,TATAMOTORS,EQ,260
246,TATAMTRDVR,EQ,3
247,TATAPOWER,EQ,25
248,TATASTEEL,EQ,569
249,TCS,EQ,20
250,TDPOWERSYS,EQ,1
251,TFCILTD,EQ,25
252,TIMKEN,EQ,9
253,TIPSFILMS,EQ,13
254,TIPSINDLTD,EQ,100
255,TITAN,EQ,1
256,TRIDENT,EQ,2501
257,TRIL,EQ,1
258,TVTODAY,EQ,4
259,UDAICEMENT,EQ,30
260,UFLEX,EQ,21
261,UGARSUGAR,EQ,100
262,UNICHEMLAB,EQ,1
263,UNIDT,EQ,418
264,UNIONBANK,EQ,312
265,UNIPARTS,EQ,25
266,UTTAMSUGAR,EQ,25
267,VASCONEQ,EQ,300
268,VETO,EQ,400
269,VGUARD,EQ,14
270,VIDHIING,EQ,9
271,VISHAL,EQ,1
272,WABAG,EQ,300
273,WIPRO,EQ,66
274,XCHANGING,EQ,300
275,ZEEL,EQ,92
