Confirmed list of securities to be auctioned in A 2023129 to be held on Jul 12 2023.

Sr No,Symbol,Series,Total Qty
1,3IINFOLTD,EQ,10
2,AARTECH,EQ,654
3,ABAN,EQ,20
4,ABBOTINDIA,EQ,1
5,ABFRL,EQ,5
6,ABSLAMC,EQ,36
7,ABSLLIQUID,EQ,6
8,ADANIENT,EQ,1
9,ADANIGREEN,EQ,3
10,ADANIPORTS,EQ,50
11,ADANIPOWER,EQ,25
12,ADFFOODS,EQ,18
13,ADSL,EQ,350
14,AEGISCHEM,EQ,100
15,AGARIND,EQ,1
16,AMIORG,EQ,98
17,ANDHRSUGAR,EQ,71
18,ANDREWYU,EQ,439
19,ANTGRAPHIC,EQ,100
20,ANURAS,EQ,360
21,APCOTEXIND,EQ,1
22,APOLLO,EQ,9101
23,APOLLOTYRE,EQ,408
24,ASAL,EQ,112
25,ASHIANA,EQ,21
26,ASHOKLEY,EQ,201
27,AXISBPSETF,EQ,1160
28,BAGFILMS,EQ,40
29,BAJAJ-AUTO,EQ,245
30,BAJAJFINSV,EQ,313
31,BAJFINANCE,EQ,3
32,BANKBARODA,EQ,30
33,BBOX,EQ,468
34,BDL,EQ,4
35,BEML,EQ,100
36,BHARATRAS,EQ,5
37,BHARATWIRE,EQ,6
38,BHARTIARTL,EQ,5
39,BHEL,EQ,526
40,BIOFILCHEM,EQ,6
41,BIRLACORPN,EQ,16
42,BLAL,EQ,1
43,BLS,EQ,200
44,BODALCHEM,EQ,1000
45,BOMDYEING,EQ,1260
46,BRIGADE,EQ,85
47,BRITANNIA,N3,4
48,BSLGOLDETF,EQ,1
49,BSOFT,EQ,25
50,CANBK,EQ,10
51,CANFINHOME,EQ,20
52,CARTRADE,EQ,180
53,CDSL,EQ,5
54,CHEMCON,EQ,48
55,CHOLAHLDNG,EQ,200
56,COASTCORP,EQ,25
57,COCHINSHIP,EQ,405
58,CORALFINAC,EQ,10
59,CROMPTON,EQ,1028
60,CYIENTDLM,EQ,6156
61,DALMIASUG,EQ,450
62,DEEPAKFERT,EQ,1
63,DIL,EQ,50
64,DIVISLAB,EQ,25
65,DMCC,EQ,2
66,DSPGOLDETF,EQ,2
67,DVL,EQ,20
68,DYNPRO,EQ,35
69,EIHAHOTELS,EQ,18
70,ESTER,EQ,2
71,FACT,EQ,10
72,FAZE3Q,EQ,10
73,FORTIS,EQ,100
74,GALLANTT,EQ,26
75,GANESHBE,EQ,884
76,GANESHHOUC,EQ,17
77,GFLLIMITED,EQ,4
78,GHCLTEXTIL,EQ,1
79,GLOBUSSPR,EQ,20
80,GMRP&UI,EQ,275
81,GNA,EQ,100
82,GOACARBON,EQ,1
83,GODFRYPHLP,EQ,189
84,GOODYEAR,EQ,7
85,GPPL,EQ,2
86,GRAPHITE,EQ,125
87,GTL,EQ,5
88,GUJGASLTD,EQ,6
89,GULPOLY,EQ,4950
90,HATSUN,EQ,31
91,HDFCBANK,EQ,1
92,HERANBA,EQ,82
93,HEROMOTOCO,EQ,10
94,HINDUNILVR,EQ,179
95,HONAUT,EQ,1
96,HSCL,EQ,150
97,IBREALEST,EQ,1549
98,IBULHSGFIN,EQ,500
99,ICICIGI,EQ,22
100,ICICIPRULI,EQ,1
101,ICRA,EQ,5
102,IDBI,EQ,5
103,IDFC,EQ,50
104,IFGLEXPOR,EQ,1222
105,IGPL,EQ,2
106,IMAGICAA,EQ,405
107,INDHOTEL,EQ,3
108,INDOAMIN,EQ,152
109,INDOWIND,EQ,452
110,INDUSTOWER,EQ,101
111,INOXWIND,EQ,381
112,IRCON,EQ,60
113,IRCTC,EQ,10
114,IRFC,N2,80
115,IRIS,EQ,42
116,IVZINGOLD,EQ,5
117,JAYBARMARU,EQ,1171
118,JINDALPHOT,EQ,30
119,JINDALSAW,EQ,300
120,JKLAKSHMI,EQ,800
121,JOCIL,EQ,2
122,JPASSOCIAT,EQ,19
123,JSWENERGY,EQ,180
124,JUSTDIAL,EQ,1
125,KAPSTON,EQ,97
126,KEI,EQ,25
127,KHADIM,EQ,81
128,KIMS,EQ,55
129,KKCL,EQ,100
130,KOVAI,EQ,328
131,KPITTECH,EQ,15
132,KRITINUT,EQ,54
133,L&TFH,EQ,1960
134,LEMONTREE,EQ,500
135,LICHSGFIN,EQ,10
136,LICI,EQ,6
137,LINC,EQ,40
138,LIQUIDBEES,EQ,156
139,LIQUIDETF,EQ,311
140,LSIL,EQ,336
141,LT,EQ,215
142,LUPIN,EQ,21
143,M&M,EQ,2
144,MAGOLDETF,EQ,4
145,MANAPPURAM,EQ,285
146,MANINDS,EQ,100
147,MARINE,EQ,20
148,MARKSANS,EQ,400
149,MARUTI,EQ,1
150,MAXHEALTH,EQ,27
151,MAXIND,EQ,2
152,MAXVIL,EQ,186
153,MAZDOCK,EQ,220891
154,MEGASOFT,EQ,30
155,METROPOLIS,EQ,50
