"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"04 Jul 2023","FUTCOM","ALUMINI      ","31JUL2023","-","0.00","195.30","196.55","195.15","196.30","195.75","1188","1188.000 KGS  ","2327.85","3201"
"04 Jul 2023","FUTCOM","ALUMINI      ","31AUG2023","-","0.00","196.60","197.70","196.60","197.25","197.65","132","132.000 KGS  ","260.39","127"
"04 Jul 2023","FUTCOM","ALUMINI      ","29SEP2023","-","0.00","","","","198.10","199.40","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","FUTCOM","ALUMINI      ","31OCT2023","-","0.00","","","","199.10","201.35","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","FUTCOM","ALUMINI      ","30NOV2023","-","0.00","","","","200.00","203.20","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","FUTCOM","ALUMINIUM    ","31JUL2023","-","0.00","195.25","196.35","195.15","196.20","195.65","860","4300.000 KGS  ","8417.11","4154"
"04 Jul 2023","FUTCOM","ALUMINIUM    ","31AUG2023","-","0.00","196.50","197.30","196.50","197.20","196.80","80","400.000 KGS  ","787.87","233"
"04 Jul 2023","FUTCOM","ALUMINIUM    ","29SEP2023","-","0.00","","","","198.10","197.85","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","FUTCOM","ALUMINIUM    ","31OCT2023","-","0.00","","","","199.15","199.05","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","FUTCOM","ALUMINIUM    ","30NOV2023","-","0.00","","","","200.10","200.15","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","740.00","","","","1.64","1.64","0","0.000 KGS  ","0.00","3"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","740.00","","","","24.92","24.92","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","745.00","","","","1.05","1.05","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","745.00","","","","29.31","29.31","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","750.00","2.25","2.25","2.25","2.25","0.65","1","2.500 KGS  ","18.81","4"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","750.00","","","","33.89","33.89","0","0.000 KGS  ","0.00","1"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","755.00","","","","0.39","0.39","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","755.00","","","","38.61","38.61","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","760.00","","","","0.22","0.22","0","0.000 KGS  ","0.00","2"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","760.00","","","","43.43","43.43","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","765.00","","","","0.13","0.13","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","765.00","","","","48.32","48.32","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","770.00","","","","0.07","0.07","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","770.00","","","","53.24","53.24","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","775.00","","","","0.04","0.04","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","775.00","","","","58.19","58.19","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","780.00","","","","0.02","0.02","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","780.00","","","","63.16","63.16","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","785.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","785.00","","","","68.13","68.13","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","790.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","790.00","","","","73.11","73.11","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","795.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","795.00","","","","78.10","78.10","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","800.00","","","","83.08","83.08","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","805.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","805.00","","","","88.06","88.06","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","810.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"04 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","810.00","","","","93.04","93.04","0","0.000 KGS  ","0.00","0"
