"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"11 Jul 2023","FUTCOM","ALUMINI      ","31JUL2023","-","0.00","196.15","197.90","196.15","196.70","196.00","1722","1722.000 KGS  ","3393.18","2621"
"11 Jul 2023","FUTCOM","ALUMINI      ","31AUG2023","-","0.00","197.90","199.25","197.85","198.25","197.40","159","159.000 KGS  ","315.55","206"
"11 Jul 2023","FUTCOM","ALUMINI      ","29SEP2023","-","0.00","","","","199.70","198.70","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","FUTCOM","ALUMINI      ","31OCT2023","-","0.00","","","","201.30","200.15","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","FUTCOM","ALUMINI      ","30NOV2023","-","0.00","","","","202.80","201.50","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","FUTCOM","ALUMINIUM    ","31JUL2023","-","0.00","196.20","197.90","196.15","196.45","195.80","1427","7135.000 KGS  ","14057.45","4012"
"11 Jul 2023","FUTCOM","ALUMINIUM    ","31AUG2023","-","0.00","197.50","199.05","197.50","198.05","197.10","89","445.000 KGS  ","882.29","349"
"11 Jul 2023","FUTCOM","ALUMINIUM    ","29SEP2023","-","0.00","","","","199.50","198.30","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","FUTCOM","ALUMINIUM    ","31OCT2023","-","0.00","","","","201.15","199.65","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","FUTCOM","ALUMINIUM    ","30NOV2023","-","0.00","","","","202.70","200.90","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","740.00","","","","0.90","0.90","0","0.000 KGS  ","0.00","4"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","740.00","","","","18.47","18.47","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","745.00","","","","0.45","0.45","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","745.00","","","","23.00","23.00","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","750.00","","","","0.21","0.21","0","0.000 KGS  ","0.00","5"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","750.00","","","","27.75","27.75","0","0.000 KGS  ","0.00","1"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","755.00","","","","0.09","0.09","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","755.00","","","","32.62","32.62","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","760.00","","","","0.03","0.03","0","0.000 KGS  ","0.00","2"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","760.00","","","","37.56","37.56","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","765.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","765.00","","","","42.53","42.53","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","770.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","770.00","","","","47.51","47.51","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","775.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","775.00","","","","52.50","52.50","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","780.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","780.00","","","","57.49","57.49","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","785.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","785.00","","","","62.48","62.48","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","790.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","790.00","","","","67.47","67.47","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","795.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","795.00","","","","72.46","72.46","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","800.00","","","","77.45","77.45","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","805.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","805.00","","","","82.44","82.44","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","810.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","810.00","","","","87.43","87.43","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","730.00","5.01","6.99","5.01","6.03","6.10","7","17.500 KGS  ","128.80","8"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","730.00","","","","10.50","10.50","0","0.000 KGS  ","0.00","2"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","735.00","","","","1.68","1.68","0","0.000 KGS  ","0.00","0"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","735.00","","","","19.00","19.00","0","0.000 KGS  ","0.00","4"
"11 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","725.00","5.00","5.00","5.00","5.00","4.73","1","2.500 KGS  ","18.25","1"
