"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"05 Jul 2023","FUTCOM","ALUMINI      ","31JUL2023","-","0.00","195.70","197.00","194.80","195.30","196.30","2154","2154.000 KGS  ","4213.05","3353"
"05 Jul 2023","FUTCOM","ALUMINI      ","31AUG2023","-","0.00","197.05","198.10","196.15","196.85","197.25","150","150.000 KGS  ","295.47","146"
"05 Jul 2023","FUTCOM","ALUMINI      ","29SEP2023","-","0.00","","","","198.30","198.10","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","FUTCOM","ALUMINI      ","31OCT2023","-","0.00","","","","199.90","199.10","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","FUTCOM","ALUMINI      ","30NOV2023","-","0.00","","","","201.40","200.00","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","FUTCOM","ALUMINIUM    ","31JUL2023","-","0.00","195.55","196.95","194.50","195.05","196.20","1548","7740.000 KGS  ","15128.78","4202"
"05 Jul 2023","FUTCOM","ALUMINIUM    ","31AUG2023","-","0.00","196.80","198.00","196.00","196.45","197.20","136","680.000 KGS  ","1338.69","271"
"05 Jul 2023","FUTCOM","ALUMINIUM    ","29SEP2023","-","0.00","","","","197.75","198.10","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","FUTCOM","ALUMINIUM    ","31OCT2023","-","0.00","","","","199.20","199.15","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","FUTCOM","ALUMINIUM    ","30NOV2023","-","0.00","","","","200.55","200.10","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","730.00","","","","16.36","16.36","0","0.000 KGS  ","0.00","2"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","735.00","","","","2.15","2.15","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","735.00","","","","20.25","20.25","0","0.000 KGS  ","0.00","4"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","725.00","","","","4.74","4.74","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","725.00","","","","12.86","12.86","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","815.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","815.00","","","","97.85","97.85","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","710.00","14.00","14.00","14.00","14.00","14.00","3","7.500 KGS  ","54.30","3"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","710.00","","","","5.12","5.12","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","715.00","9.48","9.48","9.48","9.48","9.06","1","2.500 KGS  ","18.11","1"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","715.00","11.81","12.00","11.50","11.81","11.99","6","15.000 KGS  ","109.02","3"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","720.00","9.00","9.98","7.11","8.97","9.70","21","52.500 KGS  ","382.37","24"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","720.00","","","","9.80","9.80","0","0.000 KGS  ","0.00","3"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","705.00","","","","15.30","15.30","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","705.00","","","","3.49","3.49","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","700.00","","","","19.07","19.07","0","0.000 KGS  ","0.00","2"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","700.00","4.30","4.80","3.15","3.89","2.67","7","17.500 KGS  ","123.18","21"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","680.00","","","","36.98","36.98","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","680.00","","","","0.25","0.25","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","685.00","","","","32.22","32.22","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","685.00","","","","0.47","0.47","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","690.00","","","","27.60","27.60","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","690.00","","","","0.83","0.83","0","0.000 KGS  ","0.00","1"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","695.00","","","","23.19","23.19","0","0.000 KGS  ","0.00","0"
"05 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","695.00","","","","1.41","1.41","0","0.000 KGS  ","0.00","0"
