"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"06 Jul 2023","FUTCOM","ALUMINI      ","31JUL2023","-","0.00","195.10","196.15","194.90","195.30","195.30","1354","1354.000 KGS  ","2645.70","3321"
"06 Jul 2023","FUTCOM","ALUMINI      ","31AUG2023","-","0.00","196.45","197.50","196.35","196.80","196.85","85","85.000 KGS  ","167.31","160"
"06 Jul 2023","FUTCOM","ALUMINI      ","29SEP2023","-","0.00","","","","198.20","198.30","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","FUTCOM","ALUMINI      ","31OCT2023","-","0.00","","","","199.75","199.90","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","FUTCOM","ALUMINI      ","30NOV2023","-","0.00","","","","201.20","201.40","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","FUTCOM","ALUMINIUM    ","31JUL2023","-","0.00","194.85","196.00","194.65","195.05","195.05","1165","5825.000 KGS  ","11367.44","4261"
"06 Jul 2023","FUTCOM","ALUMINIUM    ","31AUG2023","-","0.00","196.15","197.55","196.00","196.50","196.45","43","215.000 KGS  ","422.42","272"
"06 Jul 2023","FUTCOM","ALUMINIUM    ","29SEP2023","-","0.00","","","","197.85","197.75","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","FUTCOM","ALUMINIUM    ","31OCT2023","-","0.00","","","","199.35","199.20","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","FUTCOM","ALUMINIUM    ","30NOV2023","-","0.00","","","","200.75","200.55","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","740.00","","","","23.86","23.86","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","745.00","","","","0.69","0.69","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","745.00","","","","28.36","28.36","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","750.00","","","","0.39","0.39","0","0.000 KGS  ","0.00","4"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","750.00","","","","33.05","33.05","0","0.000 KGS  ","0.00","1"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","755.00","","","","0.21","0.21","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","755.00","","","","37.85","37.85","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","760.00","","","","0.11","0.11","0","0.000 KGS  ","0.00","2"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","760.00","","","","42.74","42.74","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","765.00","","","","0.05","0.05","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","765.00","","","","47.67","47.67","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","770.00","","","","0.03","0.03","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","770.00","","","","52.62","52.62","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","775.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","775.00","","","","57.59","57.59","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","780.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","780.00","","","","62.57","62.57","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","785.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","785.00","","","","67.56","67.56","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","790.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","790.00","","","","72.54","72.54","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","795.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","795.00","","","","77.53","77.53","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","800.00","","","","82.51","82.51","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","805.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","805.00","","","","87.50","87.50","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","810.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","810.00","","","","92.48","92.48","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","730.00","3.91","3.91","3.91","3.91","4.43","1","2.500 KGS  ","18.35","3"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","730.00","","","","15.68","15.68","0","0.000 KGS  ","0.00","2"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","735.00","","","","1.91","1.91","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","735.00","","","","19.61","19.61","0","0.000 KGS  ","0.00","4"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","725.00","","","","4.44","4.44","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","725.00","","","","12.17","12.17","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","815.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","815.00","","","","97.47","97.47","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","710.00","13.00","13.15","13.00","13.08","14.00","2","5.000 KGS  ","36.15","3"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","710.00","","","","4.54","4.54","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","715.00","9.48","9.48","9.48","9.48","9.48","1","2.500 KGS  ","18.11","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","715.00","10.50","10.50","10.00","10.17","11.81","3","7.500 KGS  ","54.39","1"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","720.00","7.30","10.00","7.01","8.72","8.97","23","57.500 KGS  ","419.07","30"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","720.00","","","","9.12","9.12","0","0.000 KGS  ","0.00","3"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","705.00","","","","15.21","15.21","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","705.00","","","","2.99","2.99","0","0.000 KGS  ","0.00","0"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","700.00","21.37","21.37","21.37","21.37","19.08","1","2.500 KGS  ","18.03","1"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","700.00","3.79","4.45","3.79","3.95","3.89","5","12.500 KGS  ","87.99","22"
"06 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","680.00","","","","37.31","37.31","0","0.000 KGS  ","0.00","0"
