"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"07 Jul 2023","FUTCOM","ALUMINI      ","31JUL2023","-","0.00","196.00","196.00","195.00","195.70","195.30","1199","1199.000 KGS  ","2344.41","3161"
"07 Jul 2023","FUTCOM","ALUMINI      ","31AUG2023","-","0.00","196.85","197.40","196.60","197.20","196.80","91","91.000 KGS  ","179.35","168"
"07 Jul 2023","FUTCOM","ALUMINI      ","29SEP2023","-","0.00","","","","198.60","198.20","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","FUTCOM","ALUMINI      ","31OCT2023","-","0.00","","","","200.15","199.75","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","FUTCOM","ALUMINI      ","30NOV2023","-","0.00","","","","201.60","201.20","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","FUTCOM","ALUMINIUM    ","31JUL2023","-","0.00","195.05","195.80","194.70","195.55","195.05","820","4100.000 KGS  ","8008.83","4233"
"07 Jul 2023","FUTCOM","ALUMINIUM    ","31AUG2023","-","0.00","196.65","197.10","196.30","196.85","196.50","69","345.000 KGS  ","679.13","288"
"07 Jul 2023","FUTCOM","ALUMINIUM    ","29SEP2023","-","0.00","","","","198.05","197.85","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","FUTCOM","ALUMINIUM    ","31OCT2023","-","0.00","","","","199.40","199.35","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","FUTCOM","ALUMINIUM    ","30NOV2023","-","0.00","","","","200.65","200.75","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","740.00","1.51","1.51","1.51","1.51","0.79","2","5.000 KGS  ","37.08","4"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","740.00","","","","24.93","24.93","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","745.00","","","","0.44","0.44","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","745.00","","","","29.56","29.56","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","750.00","1.00","1.00","1.00","1.00","0.23","1","2.500 KGS  ","18.78","5"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","750.00","","","","34.34","34.34","0","0.000 KGS  ","0.00","1"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","755.00","","","","0.11","0.11","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","755.00","","","","39.21","39.21","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","760.00","","","","0.05","0.05","0","0.000 KGS  ","0.00","2"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","760.00","","","","44.13","44.13","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","765.00","","","","0.02","0.02","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","765.00","","","","49.09","49.09","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","770.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","770.00","","","","54.06","54.06","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","775.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","775.00","","","","59.05","59.05","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","780.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","780.00","","","","64.03","64.03","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","785.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","785.00","","","","69.01","69.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","790.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","790.00","","","","74.00","74.00","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","795.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","795.00","","","","78.99","78.99","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"07 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","800.00","","","","83.97","83.97","0","0.000 KGS  ","0.00","0"
