Sr. No,Symbol,Series,Security Name,From,To
1,AARON,BE,AARON INDUSTRIES LIMITED,10,5
2,NILASPACES,BE,NILA SPACES LIMITED,10,5
3,REPRO,EQ,REPRO INDIA LIMITED,10,5
4,ORIENTABRA,EQ,ORIENT ABRASIVES LIMITED,20,10
5,SWASTIK,SM,SWASTIK PIPE LIMITED,20,10
