Confirmed list of securities to be auctioned in A 2023128 to be held on Jul 11 2023.

Sr No,Symbol,Series,Total Qty
204,MSUMI,EQ,410
205,MTARTECH,EQ,5
206,MTNL,EQ,172
207,MUTHOOTFIN,EQ,141
208,NAGAFERT,EQ,1
209,NAHARINDUS,EQ,24
210,NAVA,EQ,98
211,NAVKARCORP,EQ,258
212,NAVNETEDUL,EQ,2022
213,NELCAST,EQ,80
214,NFL,EQ,816
215,NIITLTD,EQ,32
216,NOVARTIND,EQ,1
217,NTPC,EQ,3907
218,OLECTRA,EQ,1
219,ORISSAMINE,EQ,15
220,PALREDTEC,EQ,58
221,PATINTLOG,EQ,12
222,PCBL,EQ,2
223,PCJEWELLER,EQ,207002
224,PEL,EQ,49
225,PENINLAND,EQ,236
226,PFIZER,EQ,62
227,PFS,EQ,4101
228,PIDILITIND,EQ,16792
229,PNB,EQ,2204
230,POKARNA,EQ,1
231,POLYCAB,EQ,90
232,POLYMED,EQ,4
233,PRECAM,EQ,500
234,PRECWIRE,EQ,5000
235,PRSMJOHNSN,EQ,103
236,PTCIL,EQ,17
237,RADIANTCMS,EQ,100
238,RADICO,EQ,22
239,RAMAPHO,EQ,18
240,RAMCOCEM,EQ,54
241,RAMRAT,EQ,1
242,RBLBANK,EQ,31
243,RECLTD,EQ,246
244,REFEX,EQ,3192
245,RELIANCE,EQ,26
246,RELINFRA,EQ,1615
247,RGL,EQ,52
248,ROLEXRINGS,EQ,89
249,ROSSELLIND,EQ,1
250,RPOWER,EQ,42660
251,RTNPOWER,EQ,49330
252,SAIL,EQ,2329
253,SAREGAMA,EQ,13
254,SASTASUNDR,EQ,10
255,SBICARD,EQ,241
256,SBILIFE,EQ,121
257,SBIN,EQ,12
258,SCHAND,EQ,16
259,SDBL,EQ,2
260,SDL24BEES,EQ,118
261,SEPC,EQ,6462
262,SESHAPAPER,EQ,51
263,SHARDACROP,EQ,1
264,SHK,EQ,27
265,SHREECEM,EQ,25
266,SHREEPUSHK,EQ,19
267,SHRIRAMFIN,EQ,58
268,SHYAMMETL,EQ,1289
269,SIGMA,EQ,8
270,SIYSIL,EQ,27
271,SJS,EQ,4
272,SJVN,EQ,500
273,SOLARINDS,EQ,20
274,SPCENET,EQ,10
275,SPORTKING,EQ,5
276,SRF,EQ,44
277,STAR,EQ,16
278,STCINDIA,EQ,8
279,STEELXIND,EQ,5
280,STEL,EQ,1
281,SULA,EQ,231
282,SUMMITSEC,EQ,25
283,SUNDRMFAST,EQ,54
284,SUNFLAG,EQ,5
285,SUNPHARMA,EQ,31
286,SUNTECK,EQ,422
287,SUPREMEIND,EQ,2
288,SURANAT&P,EQ,1943
289,SUZLON,EQ,275
290,SWANENERGY,EQ,425
291,SYRMA,EQ,1
292,TAJGVK,EQ,35
293,TAKE,EQ,9
294,TANLA,EQ,118
295,TATAMOTORS,EQ,667
296,TATAMTRDVR,EQ,151
297,TATAPOWER,EQ,25
298,TATASTEEL,EQ,100
299,TCS,EQ,50
300,TEGA,EQ,50
301,TIMETECHNO,EQ,4
302,TIMKEN,EQ,54
303,TINPLATE,EQ,1
304,TRACXN,EQ,2056
305,TRF,EQ,470
306,TRIGYN,EQ,9
307,TRIL,EQ,100
308,TRITURBINE,EQ,127
309,TRU,EQ,20
310,TVSMOTOR,EQ,118
311,TVSSRICHAK,EQ,1
312,UGROCAP,EQ,23
313,UJJIVAN,EQ,169
314,UJJIVANSFB,EQ,10799
315,UNIENTER,EQ,5
316,UNIONBANK,EQ,5
317,UTISENSETF,EQ,27
318,VIDHIING,EQ,3
319,VIKASECO,EQ,1
320,VIKASLIFE,EQ,1
321,VINDHYATEL,EQ,20
322,VMART,EQ,9
323,VRLLOG,EQ,113
324,WELCORP,EQ,761
325,WELENT,EQ,511
326,WENDT,EQ,1
327,WESTLIFE,EQ,4
328,WINDLAS,EQ,16
329,WONDERLA,EQ,1
330,XPROINDIA,EQ,10
331,YESBANK,EQ,600
332,ZOMATO,EQ,11
