1,AARTIPHARM,INE0LRU01027,356.4,20
2,PONNIERODE,INE838E01017,380,22.49
3,HDFCSENSEX,INF179KC1973,715.85,6
4,DEEPAKNTR,INE288B01029,1986.85,20
5,THANGAMAYL,INE085J01014,1651,20
6,NAVNETEDUL,INE060A01024,132.2,20
7,RELINFRA,INE036A01016,135.65,21.94
8,NFL,INE870D01012,72.9,21.41
9,JAYAGROGN,INE785A01026,229,20
10,ICICINV20,INF109KB1WY5,108.93,20
11,MARUTI,INE585B01010,9736.3,9
12,SWANENERGY,INE665A01038,262.8,20.96
13,ALBERTDAVD,INE155C01010,636.8,20
14,ASAHISONG,INE228I01012,226.05,20
15,KMSUGAR,INE157H01023,26.2,20
16,SIGIND,INE529F01035,46.7,100
17,YUKEN,INE384C01016,637.65,20
18,RAJESHEXPO,INE343B01030,522.15,20
19,IGPL,INE204A01010,502.7,20
20,BLUESTARCO,INE472A01039,790.4,20
21,SGBJAN29IX,IN0020200377,5807.12,10
22,ITI,INE248A01017,108.4,20
23,RUSTOMJEE,INE263M01029,612.75,20
24,BECTORFOOD,INE495P01012,793.15,20
25,SGBMAR25,IN0020160126,5820.1,10
26,MOVALUE,INF247L01BE5,55.57,20
27,INDIAGLYCO,INE560A01015,625.95,20
28,TRIGYN,INE948A01012,105.65,20
29,VSTTILLERS,INE764D01017,2837.6,20
30,SGBSEP27,IN0020190115,5840,10
31,SKYGOLD,INE01IU01018,275.45,100
32,SGBNOV25VI,IN0020170083,5863,10
33,RECLTD,INE020B01018,166.9,20
34,AXISCETF,INF846K016C7,84.69,20
35,IDFNIFTYET,INF194KA1U07,206.99,7.76
36,SGBAUG27,IN0020190107,5860.25,10
37,VERANDA,INE0IQ001011,179.45,20
38,JUBLINDS,INE645L01011,534.6,20
39,PASUPTAC,INE818B01023,33.65,20
40,CENTRUM,INE660C01027,20.3,20
41,SGBMAY26,IN0020180033,5800,10
42,FLUOROCHEM,INE09N301011,2787.35,20
43,DHUNINV,INE320L01011,709.1,20
44,STARPAPER,INE733A01018,173.55,20
45,CHEMPLASTS,INE488A01050,439.4,20
46,PAGEIND,INE761H01022,36384.5,20
47,GOKULAGRO,INE314T01025,104.7,20.96
48,RUSHIL,INE573K01017,295.35,21.85
49,EICHERMOT,INE066A01021,3173.9,11.01
50,VISHNU,INE270I01022,334.75,20
51,GUJALKALI,INE186A01019,688.1,20
52,NMDC,INE584A01023,107.8,20
53,KIRLOSENG,INE146L01010,390.3,20
54,DHANI,INE274G01010,31.6,24
55,MOIL,INE490G01020,190,20
56,ANANTRAJ,INE242C01024,177.05,20.57
57,CREATIVE,INE985W01018,485.8,20
58,TIINDIA,INE974X01010,3141.05,20
59,HDFCNIF100,INF179KC1DB7,194.57,8.19
60,CHAMBLFERT,INE085A01013,273.85,20
61,PLASTIBLEN,INE083C01022,196.45,20
62,KIRLPNU,INE811A01020,674,20
63,SGBNOV25,IN0020170091,5803,10
64,RUCHIRA,INE803H01014,113.2,20
65,JSWHL,INE824G01012,4483.1,20
66,HSCL,INE019C01026,127.4,20
67,RCF,INE027A01015,117.6,20
68,NATHBIOGEN,INE448G01010,215.2,20
69,SANDHAR,INE278H01035,360.55,20
70,NCC,INE868B01028,125.9,20
71,WELSPUNIND,INE192B01031,96.5,20
72,KECL,INE134B01017,125.1,100
73,STOVEKRAFT,INE00IN01015,439.8,20
74,MEDICAMEQ,INE646B01010,723.95,20
75,WALCHANNAG,INE711A01022,93.15,100
76,AXISHCETF,INF846K01Z12,90.25,20
77,VENUSPIPES,INE0JA001018,1167.2,20
78,TITAN,INE280A01028,3045.55,9.47
79,IFGLEXPOR,INE133Y01011,338.55,20
80,BASF,INE373A01013,2620.3,20
81,TV18BRDCST,INE886H01027,38.45,20.2
82,NAHARCAP,INE049I01012,285.5,20.27
83,HDFCBANK,INE040A01034,1656.45,9
84,HINDALCO,INE038A01020,427.85,14.2
85,LIQUIDBEES,INF732E01037,1000,10
86,POWERINDIA,INE07Y701011,4226.8,20
87,TATACONSUM,INE192A01025,825.65,9.11
88,SUBEXLTD,INE754A01055,28.65,21.44
89,VHL,INE701A01023,2825.25,20
90,MOMOMENTUM,INF247L01BK2,42.69,20
91,SGBMAR30X,IN0020210319,5900,10
92,TATVA,INE0GK401011,1774.4,20
93,TANLA,INE483C01032,1009.05,21.48
94,NPBET,INF277K010X4,233.65,8.28
95,RPPINFRA,INE324L01013,60.25,21.21
96,TORNTPHARM,INE685A01028,1911.95,20
97,ARMANFIN,INE109C01017,2227.85,20
98,INOXGREEN,INE510W01014,57.95,20
99,YESBANK,INE528G01035,17.05,20
100,ASAL,INE900C01027,394.4,22.51
101,MAHEPC,INE215D01010,109.2,20
102,COLPAL,INE259A01022,1779.35,20
103,ICICIPHARM,INF109KC1Q72,90.49,20
104,NRBBEARING,INE349A01021,212.7,20
105,ROSSARI,INE02A801020,872.65,20
106,SGBJUN30,IN0020220045,5992.33,10
107,SHRIRAMPPS,INE217L01019,64.85,20
108,SGBOCT25IV,IN0020170067,5802.1,10
109,IVP,INE043C01018,164.9,100
110,SHAKTIPUMP,INE908D01010,597.5,20
111,GANESHHOUC,INE460C01014,381.05,20
112,DMART,INE192R01011,3767.7,20
113,CORDSCABLE,INE792I01017,86,100
114,KAYA,INE587G01015,331.15,20
115,SANOFI,INE058A01010,6912.5,20
