MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NB,IBUCCREDIT,SERENCD8.84%SRVICIII&IV,       900.00,       940.00,       950.00,       940.00,       950.00,                    16000.00,17, ,2,      1150.00,       750.00
N,NB,IIHFL,SEC RE NCD 0% SR.V,      1002.55,      1003.45,      1003.45,      1000.00,      1000.00,                   300230.75,300, ,4,      1040.85,       937.00
N,NB,NTPC,TFB 7.36% 2025 SR. 1B,      1099.00,      1085.00,      1085.00,      1085.00,      1085.00,                   108500.00,100, ,1,      1124.00,      1042.10
N,NC,IIFL,UNSEC RED NCD 10.00% SR.V,      1002.01,      1002.80,      1002.80,      1002.80,      1002.80,                    15042.00,15, ,1,      1043.90,       842.80
N,NC,L&TFINANCE,SERENCD 9.25% SR.III OPII,      1028.00,      1035.00,      1035.00,      1035.00,      1035.00,                    25875.00,25, ,1,      1168.95,      1002.10
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1207.79,      1209.75,      1217.00,      1206.00,      1215.85,                  1075923.33,889, ,24,      1280.00,      1151.10
N,ND,IBUCCREDIT,SERENCD9.20%SRVIICIII&IV,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    34000.00,34, ,1,      1014.00,       800.00
N,ND,INDIGRID,SEC RE NCD 7.60% SR.II,       980.00,       980.00,       980.00,       980.00,       980.00,                     7840.00,8, ,1,      1044.01,       965.00
N,ND,IRFC,BOND 8.44% PA TF TII-SIB,      1059.75,      1059.75,      1059.75,      1059.75,      1059.75,                     1059.75,1, ,1,      1555.00,      1001.10
N,ND,TCFSL,SERENCD8.90%SRIICIII&IV,      1066.25,      1065.10,      1069.00,      1065.00,      1068.45,                   518528.85,486, ,15,      1120.03,       921.00
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1347.00,      1331.00,      1331.00,      1331.00,      1331.00,                   133100.00,100, ,2,      1454.25,      1205.10
N,NE,IBULHSGFIN,UNS RED NCD 9.15% SR.IX,       974.00,       975.00,       975.00,       975.00,       975.00,                  1001325.00,1027, ,27,       996.00,       900.00
N,NE,IIFL,UNSE RE NCD 10% SR.I,       997.02,       999.00,       999.00,       997.00,       999.00,                   364035.00,365, ,7,      1091.10,       906.00
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1199.00,      1200.05,      1200.05,      1200.05,      1200.05,                    12000.50,10, ,1,      1307.25,      1160.00
N,NE,L&TFINANCE,SERENCD 8.89% SR.IV OPII,      1018.99,      1015.55,      1015.55,      1000.01,      1004.27,                    34251.04,34, ,7,      1105.56,       988.01
N,NE,NHAI,TAX FREE 7.69% SR. IIB,      1192.01,      1195.90,      1199.99,      1193.50,      1195.00,                  1208757.48,1012, ,18,      1233.99,      1137.15
N,NF,IIFL,UNSE RE NCD 9.6% SR.II,       993.44,       994.99,       994.99,       990.00,       991.66,                  1264266.12,1275, ,29,      1018.90,       960.00
N,NF,TCFSL,UNSERENCD9.1%SRIIICIII&IV,      1117.50,      1116.00,      1116.00,      1115.50,      1115.50,                    27892.60,25, ,3,      1238.00,      1041.00
N,NG,ECLFINANCE,SEC RED NCD 9.25% SR. III,       992.12,       992.50,       998.40,       992.50,       992.50,                   125108.22,126, ,5,      1098.00,       899.05
N,NG,IBULHSGFIN,SEC RE NCD 8.35% SR.I,      1055.00,      1055.00,      1055.00,      1052.00,      1052.00,                    11575.00,11, ,2,      1055.00,       825.20
N,NG,IIFL,UNSE RE NCD 0% SR.III,      1151.00,      1160.00,      1160.00,      1160.00,      1160.00,                    13920.00,12, ,1,      1200.00,       956.00
N,NG,L&TFINANCE,SE RE NCD 9.35% SR.V OPII,      1099.00,      1082.50,      1082.50,      1080.00,      1080.00,                   103764.02,96, ,4,      1225.80,      1065.05
N,NH,ECLFINANCE,SEC RED NCD SR. IV,      1558.59,      1560.80,      1560.80,      1556.00,      1557.89,                   601528.16,386, ,8,      1735.00,      1200.10
N,NH,IBULHSGFIN,SEC RE NCD 8.75% SR.I,      1055.80,      1057.79,      1057.79,      1056.80,      1056.80,                   142679.90,135, ,12,      1070.00,       820.20
N,NH,IFCI,9.90 % SRNCD SR VI,      1057.00,      1057.00,      1057.00,      1057.00,      1057.00,                   474593.00,449, ,2,      1109.90,      1001.00
N,NH,IIFL,SEC RE NCD 8.25% SR.I,      1044.00,      1058.99,      1059.00,      1058.99,      1059.00,                    42359.95,40, ,3,      1072.00,       905.21
N,NH,INDIGRID,SEC RE NCD 7.69% SR.IV,       990.00,       970.00,       970.00,       970.00,       970.00,                    19400.00,20, ,3,      1030.00,       970.00
N,NI,ECLFINANCE,SEC RED NCD 9.65% SR. V,      1084.01,      1082.00,      1086.47,      1018.00,      1086.47,                    30172.47,28, ,3,      1201.00,       900.00
N,NI,IIFL,SEC RE NCD 0% SR.II,      1118.80,      1132.00,      1138.49,      1118.80,      1120.26,                   388567.06,346, ,6,      1170.50,      1019.20
N,NI,RECLTD,8.12/8.32% TAX FREE NCD,      1093.49,      1094.50,      1094.50,      1092.50,      1092.50,                    54680.00,50, ,3,      1179.99,      1083.37
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       981.00,       981.00,       985.00,       981.00,       985.00,                    54075.00,55, ,2,       993.00,       880.00
N,NJ,IIFL,SEC RE NCD 8.50% SR.III,      1042.80,      1042.80,      1042.80,      1042.80,      1042.80,                   104280.00,100, ,1,      1099.00,       973.00
N,NJ,INDIGRID,SEC RE NCD 8.20% SR.V,      1014.21,      1016.50,      1017.00,      1015.00,      1017.00,                   548956.00,540, ,6,      1083.00,      1000.00
N,NJ,IRFC,TAX FREE  7.53% SR. 103 A,      1168.00,      1175.50,      1175.50,      1175.50,      1175.50,                     1175.50,1, ,1,      1215.00,      1113.06
N,NJ,TCFSL,SERENCD8.50%SR.IICIII&IV,      1071.74,      1070.41,      1070.50,      1070.40,      1070.50,                    20338.10,19, ,3,      1115.00,      1019.99
N,NK,ECLFINANCE,SEC RED NCD 9.85% SR. VII,      1034.21,      1036.11,      1037.00,      1034.21,      1037.00,                   517221.69,500, ,10,      1055.00,       900.00
N,NK,IRFC,TAX FREE7.50% SR.104 A,      1225.00,      1225.00,      1225.00,      1225.00,      1225.00,                   378525.00,309, ,5,      1299.90,      1111.00
